id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
18911,623,HELLO INVESTORS CHECK YOUR WALLET FOR CONFIRMATION...8dc97a19a08a2d790cbde489e0b8120f324ab948bebbfd3e45,3e1255a4ab268a0ce97e40fea5c2b26f,2025-11-14T17:04:12+00:00,2025-11-14T17:27:15.170106+00:00,37,@CryptoInnerCircle1X
18910,620,HELLO INVESTORS CHECK YOUR WALLET FOR CONFIRMATION...4723af57294c46e633bb52d4d2e8a91527afd99eab8963e649,9d223c17e6c6e62580cca714cce9aa70,2025-11-14T17:04:11+00:00,2025-11-14T17:27:15.165904+00:00,37,@CryptoInnerCircle1X
18686,618,"If you know you have $1000 and above this is your ...Contact admin to get started
       👇👇👇
@Rsbank002",0449d9e337895cff8ad0dee8c98dabab,2025-11-13T04:52:48+00:00,2025-11-13T05:01:32.800814+00:00,37,@CryptoInnerCircle1X
18619,616,"PAYMENT ONGOING‼️


We are about to send out inves... few. Congratulations to all our investors 🎉🎉 ✅✔️💯",10f7924397104dd6239db001545618e5,2025-11-12T17:31:59+00:00,2025-11-12T17:55:16.526486+00:00,37,@CryptoInnerCircle1X
18612,614,Congratulations once again Valued user 👏 🎊,53117f3dd6948087696e462a3f9e25ee,2025-11-12T16:18:38+00:00,2025-11-12T16:45:24.638875+00:00,37,@CryptoInnerCircle1X
18537,612,"Coin #LSK/USDT 

Position: LONG 

Leverage:  Cross... 0.4070, 0.4170, 0.4270, 0.4370

Stop Loss: 0.3670",2a5ff56f2cd328f9c31f40f6b35eb83d,2025-11-12T07:06:25+00:00,2025-11-12T07:33:52.984782+00:00,37,@CryptoInnerCircle1X
18538,611,"Coin #TAKE/USDT 

Position: LONG 

Leverage:  Cros... 0.3150, 0.3250, 0.3350, 0.3450

Stop Loss: 0.2750",a45a3716f854e1b304c732eea10d856c,2025-11-12T06:54:59+00:00,2025-11-12T07:33:53.087603+00:00,37,@CryptoInnerCircle1X
18431,581,"♻️Today's payout has just kicked off♻️

All invest...tative if you're interested to join the program!✅️",6aacc75e9253a28d450c9de241d2086e,2025-11-11T13:55:47+00:00,2025-11-11T14:11:02.030836+00:00,37,@CryptoInnerCircle1X
18344,578,Thanks once again for making me and my family look so pretty 😍 we are very much grateful 🙏,257ee946eebd440f38b185d7cd67fa2d,2025-11-10T20:51:16+00:00,2025-11-10T21:06:12.533125+00:00,37,@CryptoInnerCircle1X
18343,577,Keep the investment request coming 👍,273cfb25ccc29b5245c1bfcc28271b28,2025-11-10T20:50:15+00:00,2025-11-10T21:06:12.484896+00:00,37,@CryptoInnerCircle1X
18330,575,Keep investing and keep earning consistent profits 📈 👏,8953c0906d875a53e843d71f339c0760,2025-11-10T15:13:09+00:00,2025-11-10T16:11:20.785170+00:00,37,@CryptoInnerCircle1X
18329,574,Congratulations once again 👏,0be997393d51a70268bd6534f560eacf,2025-11-10T15:12:08+00:00,2025-11-10T16:11:20.771502+00:00,37,@CryptoInnerCircle1X
18292,572,"All payments made and confirmed successfully. all ...and earn, contact admin for more info and updates.",addc79a05847111fb48045df04e45360,2025-11-10T09:40:21+00:00,2025-11-10T12:13:09.679454+00:00,37,@CryptoInnerCircle1X
18293,540,"We are about to post all payouts send to all due i...estige investors. 

                    Thank you!",8b8f89773b5c950a3f7051ea7266f2f3,2025-11-10T09:08:19+00:00,2025-11-10T12:13:09.766761+00:00,37,@CryptoInnerCircle1X
18168,534,Keep your investment request coming,bfc7f3ba263f51403b559de382380d5f,2025-11-09T09:16:59+00:00,2025-11-09T12:11:34.340285+00:00,37,@CryptoInnerCircle1X
18167,537,Keep your investment request coming,bfc7f3ba263f51403b559de382380d5f,2025-11-09T09:16:59+00:00,2025-11-09T12:11:34.181547+00:00,37,@CryptoInnerCircle1X
18172,526,HELLO INVESTORS CHECK YOUR WALLET FOR CONFIRMATION...1e025f29b59b684bfe55a44ef7beb6d209c699c7e519176586,cd8e4efc381e2b0901c7b555de2778d9,2025-11-09T09:16:58+00:00,2025-11-09T12:11:34.795700+00:00,37,@CryptoInnerCircle1X
18171,528,Keep your investment request coming,bfc7f3ba263f51403b559de382380d5f,2025-11-09T09:16:58+00:00,2025-11-09T12:11:34.471038+00:00,37,@CryptoInnerCircle1X
18170,522,Keep your investment request coming,bfc7f3ba263f51403b559de382380d5f,2025-11-09T09:16:58+00:00,2025-11-09T12:11:34.422077+00:00,37,@CryptoInnerCircle1X
18169,531,HELLO INVESTORS CHECK YOUR WALLET FOR CONFIRMATION...8af520bfaa8b1c287f5a83957902eeb56db03592abee38ba2d,d2e85bb0a47c4c44428ea8e13b65af06,2025-11-09T09:16:58+00:00,2025-11-09T12:11:34.369088+00:00,37,@CryptoInnerCircle1X
17651,458,"We are about to post all payouts sent to all due i...estige investors. 

                    Thank you!",d2d88eda959f26675ee6e4374424e2eb,2025-11-04T10:06:02+00:00,2025-11-05T20:34:29.903697+00:00,37,@CryptoInnerCircle1X
3231,457,Keep your investment request coming,bfc7f3ba263f51403b559de382380d5f,2025-11-03T19:46:35+00:00,2025-11-03T20:21:53.382487+00:00,37,@CryptoInnerCircle1X
