id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
4294,1843,"#COTI is moving inside the falling wedge on the da...unce, this setup could deliver gains toward $0.090",38e704a110fbfffe6b5fff15c4cf1076,2025-09-29T09:18:43+00:00,2025-11-03T21:49:45.401592+00:00,34,@Crypto_Signals_Original1
4295,1842,"#ETH 

Almost $12bln Cumulative Short Liquidation ...eout below the Support🫡

Short SQUEEZE is incoming",ff5e133e9b8295bfa2a814590ce2b699,2025-09-28T15:33:09+00:00,2025-11-03T21:49:47.806195+00:00,34,@Crypto_Signals_Original1
4296,1841,"🌎 #1000SATS        #Signal🔸

📍Quick 125 % Profit i...BOOM BOOM 💥💥💥💥💥💥

📱 PREMIUM➡️@Cryptopaid_signals✅️",ddcbf861d8b11988df9c5d4068d34c02,2025-09-27T05:54:53+00:00,2025-11-03T21:49:49.346560+00:00,34,@Crypto_Signals_Original1
4297,1840,"🌎 #1000SATS        #Signal🟠

📍Quick 106 % Profit i..., 3, 4, 5 Done ✅

📱 PREMIUM➡️@Cryptopaid_signals✅️",9e9a43098545a32b6e6f9d91bc631c83,2025-09-27T05:41:23+00:00,2025-11-03T21:49:51.304828+00:00,34,@Crypto_Signals_Original1
4298,1839,"🌐 #1000SATS        #Signal🔸

📍Quick 87 % Profit in 53 mins🥂

🎯 Targets 1, 2, 3, 4 Done ✅",6e23ebefe8a91ea1046e2d34f72fc59b,2025-09-27T05:36:36+00:00,2025-11-03T21:49:53.680836+00:00,34,@Crypto_Signals_Original1
4299,1838,"🌎 #1000SATS        #Signal🟠

📍Quick 68 % Profit in 27 mins🥂

🎯 Targets 1, 2, 3 Done ✅",b95fdc34676f54db81886aab62a730ac,2025-09-27T05:11:25+00:00,2025-11-03T21:49:56.119124+00:00,34,@Crypto_Signals_Original1
4300,1837,"🌐 #1000SATS        #Signal🔸

📍Quick 49 % Profit in 17 mins🥂

🎯 Targets 1, 2 Done ✅",52f278e2d617b63aedffad06f94ac41e,2025-09-27T04:58:09+00:00,2025-11-03T21:49:57.848471+00:00,34,@Crypto_Signals_Original1
4301,1836,"🌎 #1000SATS        #Signal🟠

📍Quick 29 % Profit in 10 mins🥂

🎯 Targets 1 Done ✅",c5cf073beca5e992b98b253d6b9a8e7f,2025-09-27T04:47:01+00:00,2025-11-03T21:50:00.466443+00:00,34,@Crypto_Signals_Original1
4302,1835,"📍Coin : #1000SATS/USDT

🟢 LONG 

👉 Entry: 0.000048...087
🎯 Target 6: 0.00005138

❌ StopLoss: 0.00004550",48b7eac4398aa1fddaeb0e450f2e33e1,2025-09-27T04:39:44+00:00,2025-11-03T21:50:02.783847+00:00,34,@Crypto_Signals_Original1
4303,1834,"🌎 #1MBABYDOGE          #Signal🔸

📍Quick 67 % Profi...s 1, 2, 3 Done ✅

📱 PREMIUM➡️@Cryptopaid_signals✅️",5a82ff199257186d623d6882763c76b6,2025-09-27T04:08:38+00:00,2025-11-03T21:50:04.962510+00:00,34,@Crypto_Signals_Original1
