id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
240338,12091,"⚡️⚡️ #XAI/USDT ⚡️⚡️
Exchanges: Bingx 👉
Registratio...
5) 0.00857
6) 0.00844
7) 🚀🚀🚀

Stop Targets:
5-10%",f38b13f953a91cda08860c2451a23daa,2026-04-13T14:49:38+00:00,2026-04-13T18:11:28.055183+00:00,332,crypto_sliv_alliance_eng
240365,12088,"🥷 WLFI/USDT (LONG)

📌 Entry Range:

0.07550 - 0.07... Limit Order 📊 Use Proper Risk Management 🤝🏻

#jgj",cad3cc75ec5ad777db45a02cce7b2b78,2026-04-12T21:58:43+00:00,2026-04-13T18:11:28.695512+00:00,332,crypto_sliv_alliance_eng
240333,12086,"🥷 TRUMP/USDT (LONG)

📌 Entry Range:

2.74 - 2.98

... Limit Order 📊 Use Proper Risk Management 🤝🏻

#jgj",af2e2e0fd57047c823a099414c6bfdf9,2026-04-09T17:48:58+00:00,2026-04-13T18:11:27.863818+00:00,332,crypto_sliv_alliance_eng
240350,12081,"🥷 WIF/USDT (LONG)

📌 Entry Range:

1860 - 1980

( ... Limit Order 📊 Use Proper Risk Management 🤝🏻

#jgj",782241e06209edd114ead5074ab07266,2026-04-08T06:17:14+00:00,2026-04-13T18:11:28.487645+00:00,332,crypto_sliv_alliance_eng
240368,12072,"Pair: $AVAX/USDT
Direction: Short
Exchanges: Binan...4
Target 4 - 8.01
Target 5 - 7.63

STOP LOSS: 9.01",3532c7671d7e83edbc98d19914be07d1,2026-04-07T04:38:36+00:00,2026-04-13T18:11:28.709682+00:00,332,crypto_sliv_alliance_eng
240364,12071,"📌 SIGNAL ID: #B217
COIN: #RENDER/USDT (3-5x)
Direc... to stay valid.
➖➖➖➖➖➖➖
— Bitcoin Bullets® Trading",51df7ca1f55aabb4fd91cc142d831899,2026-04-07T04:38:12+00:00,2026-04-13T18:11:28.679162+00:00,332,crypto_sliv_alliance_eng
240394,12070,"#COPPER/USDT 
Signal Type: Long
Leverage: Isolated...it Targets:
1) 5.7
2) 5.773
3) 5.914

SL:
1) 5.548",30ba6dad62327be42659576e7edb9db1,2026-04-07T04:37:13+00:00,2026-04-13T18:11:29.022313+00:00,332,crypto_sliv_alliance_eng
240402,12064,"Timeframe: 5m
Pair: BTCUSDT
Signal type: SHORT
Lev...4) 66944.67
 5) 66860.48

Stop Targets: 
 1) 67386",29106f4934171bbd06c07785807b5cd5,2026-04-04T18:05:12+00:00,2026-04-13T18:11:29.092590+00:00,332,crypto_sliv_alliance_eng
240376,12063,"#YB/USDT 
Signal Type: Long
Leverage: Isolated (15...gets:
1) 0.1252
2) 0.1268
3) 0.1299

SL:
1) 0.1218",54c62665f7a1f34d949580c3c96cede4,2026-04-04T18:04:14+00:00,2026-04-13T18:11:28.762156+00:00,332,crypto_sliv_alliance_eng
240374,12062,"#AT/USDT 
Signal Type: Long
Leverage: Isolated (15...:
1) 0.16068
2) 0.16274
3) 0.16671

SL:
1) 0.15639",8cb417df0f45f3926d9704852c1a6f11,2026-04-04T06:04:01+00:00,2026-04-13T18:11:28.745675+00:00,332,crypto_sliv_alliance_eng
