id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
19974,11751,I'm still on the hunt. Meanwhile you can shill any good project you have on my dm !,1d967edc73dbe0726dcf25bb61765c42,2025-11-15T16:08:52+00:00,2025-11-15T16:58:28.808831+00:00,23,@marine_CryptoCalls
19200,11749,100k soon,86b25d1a366e976644727f9f91f502bf,2025-11-15T05:32:59+00:00,2025-11-15T14:19:26.688891+00:00,23,@marine_CryptoCalls
19201,11747,"📊 JUST IN : Bitcoin hits $96,000

@BTC_Tick",bd84bab702935ba4b19b5345a3100843,2025-11-15T04:56:54+00:00,2025-11-15T14:19:26.690685+00:00,23,@marine_CryptoCalls
19197,11746,"zec heading to ATHs again, looks like we get another round of privacy meta",a69e9c6a1cab90060896fc4b6ce92c94,2025-11-15T02:34:03+00:00,2025-11-15T14:19:26.657855+00:00,23,@marine_CryptoCalls
19203,11745,"Interested in joining my private 

circle? DM me @badass_shakers2  rn  — access is limited.",74cdcb37c61e28ecde24ac39cd00fa0a,2025-11-15T02:26:41+00:00,2025-11-15T14:19:26.920853+00:00,23,@marine_CryptoCalls
19204,11744,"$MONEROCHAN

And here we go smashes new ath",8c32740c717cfde94bdc7175a69ffde7,2025-11-15T01:40:59+00:00,2025-11-15T14:19:26.933253+00:00,23,@marine_CryptoCalls
19205,11743,"OPEN SPOT AVAILABLE TO ADVERTISE YOUR PROJECT

Pos...our project seen by thousands in Shakers Community",23fb0671dfb6701b19668469daca5776,2025-11-15T01:36:18+00:00,2025-11-15T14:19:26.946784+00:00,23,@marine_CryptoCalls
19206,11741,"$BTC got rejected once again, but that doesn't mak...r 

Just holding through this big correction phase",9a58f5b0e0310e0a0ca5633c335f2bdd,2025-11-14T22:22:24+00:00,2025-11-15T14:19:27.072412+00:00,23,@marine_CryptoCalls
19207,11740,"SOL $CHAD CTO play watch entries!

Stay Chad. “In ...fun/

71gnzfVg8MTNc72Vspo6UoFQNfVBRHBbzhy1FKeppump",3aeec3806cf9d533e09733a840952631,2025-11-14T22:11:36+00:00,2025-11-15T14:19:27.082810+00:00,23,@marine_CryptoCalls
19208,11739,$BOLD hit ATHs @ $8M MC on a day like this!,99b966bd84d628a4e4002d2da0e4fc2e,2025-11-14T21:53:45+00:00,2025-11-15T14:19:27.084477+00:00,23,@marine_CryptoCalls
19137,11737,139.83$,0fd570573812119ea5559098dbf68c69,2025-11-14T20:53:19+00:00,2025-11-14T21:36:02.712217+00:00,23,@marine_CryptoCalls
19135,11736,"$WONDER(New KOL )

Wonder turns your Notion page i...mbW6ujzRABcYpArRSPLZQ8DS9hpkMZf5LU7SZVjU

NFA/DYOR",9200df3285e66fd284dde2474e6ae8cc,2025-11-14T20:43:43+00:00,2025-11-14T21:36:02.641208+00:00,23,@marine_CryptoCalls
19136,11735,"Bidding into $PPX

Prophex is about to step up the...sol.

AkbvXVZPzrHSpcxNADQ7Uxk6nvjHtpHn4nqNQZY8TJBn",0954ccfee50b24aa2ce0c18caa8f55da,2025-11-14T20:31:48+00:00,2025-11-14T21:36:02.654086+00:00,23,@marine_CryptoCalls
19134,11734,"PARTNERSHIP ANNOUNCEMENT 

      ᗰᗩYᗷᗩᑕᕼ 鲸鱼 x SHAK... four years of commitment and diligence.
 
Website",4b8c05adede20ab0c4974e7ea498031e,2025-11-14T20:10:04+00:00,2025-11-14T21:36:02.629449+00:00,23,@marine_CryptoCalls
18918,11732,"Achievement Unlocked: x5! 👋

@marine_CryptoCalls m...3M

👁 View Call 📊 View Stats

🟣 USDC - TRENDING #1",b959f2eb8a6a05449c36af8ac79a397f,2025-11-14T18:39:02+00:00,2025-11-14T18:44:42.888396+00:00,23,@marine_CryptoCalls
18913,11730,"$fog hit 9m last night and holding strong since ou...ion could flow to lower caps with higher r/r

Dyor",9c97a83537c12134a71c01dd02e72aad,2025-11-14T17:05:36+00:00,2025-11-14T17:27:15.987723+00:00,23,@marine_CryptoCalls
18905,11728,"$BOBO (New KOL )

Just when we thought it was over...wAC6oaVG2KtcUCkPJZwFSysa7c31BwwfHEBQpump

NFA/DYOR",bb374a2aba569b8984313adb7f8a7c44,2025-11-14T16:09:52+00:00,2025-11-14T16:18:23.686345+00:00,23,@marine_CryptoCalls
18824,11725,"Aped $apu also here at 220k

91ejMf9JtcHhHxaAfQnoYNRKr5q9Ghd2mwnHtwaypump

Dyor",e569380480c2b93aa2f10abcc46aa1bb,2025-11-14T03:44:14+00:00,2025-11-14T04:16:42.754460+00:00,23,@marine_CryptoCalls
18823,11724,"Achievement Unlocked: Alpha caller! 🐺

binancehat ...
👁 View Call 📊 View Stats

🔸 Unibase - TRENDING #2",93a02486d180fb05e4b54173155eb725,2025-11-14T03:23:15+00:00,2025-11-14T04:16:42.741935+00:00,23,@marine_CryptoCalls
18816,11722,"seems like $GHOST found a bottom, also got some de...olana/d4rstbheborjgvm1fxzywjnnolbopqusbm4fdzhwrpam",c5df4895774bf36fff2f2ed7dc25949c,2025-11-14T02:23:16+00:00,2025-11-14T02:58:40.122679+00:00,23,@marine_CryptoCalls
