id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
117207,65710,"🔰 PAIR: LIGHT/ USDT 💹

🟢 Position: LONG🚀

☑️ Entry...𝐕𝐈𝐏 & 𝐌𝐨𝐫𝐞 𝐔𝐩𝐝𝐚𝐭𝐞𝐬👇
𝐂𝐨𝐧𝐭𝐚𝐜𝐭 : ☎️ @BBB_Support_Team",5d14ed482a7e6ae75bcaba8d02360226,2026-01-03T09:54:52+00:00,2026-01-03T17:12:26.738741+00:00,172,t.me/BBB_Signals
117208,65704,"🔰 PAIR: ADA/ USDT 💹

🟢 Position: LONG🚀

☑️ Entry Z... Loss: 0.3845🔴

💎 VIP Signals: @BBB_Support_Team ✨",fc6f156d5560af7858ffb09b1385d1b2,2026-01-03T06:52:54+00:00,2026-01-03T17:12:26.740635+00:00,172,t.me/BBB_Signals
117212,65696,"🔰 PAIR: DYDX/ USDT 💹

🟢 Position: LONG🚀

☑️ Entry ...𝐕𝐈𝐏 & 𝐌𝐨𝐫𝐞 𝐔𝐩𝐝𝐚𝐭𝐞𝐬👇
𝐂𝐨𝐧𝐭𝐚𝐜𝐭 : ☎️ @BBB_Support_Team",028eec235522b0572619fa59f04002dd,2026-01-03T02:17:02+00:00,2026-01-03T17:12:26.780089+00:00,172,t.me/BBB_Signals
124523,65833,"🔰 PAIR: GUN/ USDT 💹

🟢 Position: LONG🚀

☑️ Entry Z...Loss: 0.01470🔴

💎 VIP Signals: @BBB_Support_Team ✨",599b976003ecd6fe7c05fae440f992bc,2026-01-06T10:12:59+00:00,2026-01-07T00:29:41.217373+00:00,172,t.me/BBB_Signals
121911,65804,"🔰 PAIR: SAGA/ USDT 💹

🟢 Position: LONG🚀

☑️ Entry ...𝐕𝐈𝐏 & 𝐌𝐨𝐫𝐞 𝐔𝐩𝐝𝐚𝐭𝐞𝐬👇
𝐂𝐨𝐧𝐭𝐚𝐜𝐭 : ☎️ @BBB_Support_Team",a0990f6bbad377ce42f86eb7e1ba5bb6,2026-01-05T15:32:55+00:00,2026-01-05T21:22:47.674249+00:00,172,t.me/BBB_Signals
121906,65793,"🔰 PAIR: LIGHT/ USDT 📉

🔴 Position: SHORT🚀

☑️ Entr...𝐕𝐈𝐏 & 𝐌𝐨𝐫𝐞 𝐔𝐩𝐝𝐚𝐭𝐞𝐬👇
𝐂𝐨𝐧𝐭𝐚𝐜𝐭 : ☎️ @BBB_Support_Team",16d615d3d0be22e292411589228e8650,2026-01-05T10:13:08+00:00,2026-01-05T21:22:47.471126+00:00,172,t.me/BBB_Signals
121919,65783,"🔰 PAIR: SAND/ USDT 💹

🟢 Position: LONG🚀

☑️ Entry ...𝐕𝐈𝐏 & 𝐌𝐨𝐫𝐞 𝐔𝐩𝐝𝐚𝐭𝐞𝐬👇
𝐂𝐨𝐧𝐭𝐚𝐜𝐭 : ☎️ @BBB_Support_Team",8b4e10469b84276b59ec0bbfbc9a2eb8,2026-01-05T06:46:55+00:00,2026-01-05T21:22:47.838974+00:00,172,t.me/BBB_Signals
119624,65767,"✨ ATOM/USDT

🎗 Trade Type = LONG 🟢

💫 Leverage :- ...0x

⚡️ Entry = 👇👇👇

https://t.me/+GsRq28J5w7hlZjBl",ce45044aec2b430d59a99051d743b91c,2026-01-04T17:32:30+00:00,2026-01-04T18:50:33.530599+00:00,172,t.me/BBB_Signals
119632,65766,"🔰 PAIR: ONDO/ USDT 💹

🟢 Position: LONG🚀

☑️ Entry ... Loss: 0.4390🔴

💎 VIP Signals: @BBB_Support_Team ✨",346c2ba3ef70cbb86ffcbac40f020c85,2026-01-04T17:26:40+00:00,2026-01-04T18:50:33.590629+00:00,172,t.me/BBB_Signals
119647,65754,"🔰 PAIR: 1000BONK/ USDT 💹

🟢 Position: LONG🚀

☑️ En...𝐕𝐈𝐏 & 𝐌𝐨𝐫𝐞 𝐔𝐩𝐝𝐚𝐭𝐞𝐬👇
𝐂𝐨𝐧𝐭𝐚𝐜𝐭 : ☎️ @BBB_Support_Team",91077c1b064f2f803b9c9a0351373db8,2026-01-04T13:17:12+00:00,2026-01-04T18:50:34.401425+00:00,172,t.me/BBB_Signals
119678,65745,"🔰 PAIR: AVAX/ USDT 💹

🟢 Position: LONG🚀

☑️ Entry ...p Loss: 13.80🔴

💎 VIP Signals: @BBB_Support_Team ✨",9f078ece987111c35e630a4fece62d89,2026-01-04T07:35:01+00:00,2026-01-04T18:50:42.454495+00:00,172,t.me/BBB_Signals
127522,65910,"🔰 PAIR: DYDX/ USDT 💹

🟢 Position: LONG🚀

☑️ Entry ... Loss: 0.1877🔴

💎 VIP Signals: @BBB_Support_Team ✨",7c0cc5d93a9fbf02d4f3455f80e12213,2026-01-08T10:34:19+00:00,2026-01-08T15:39:15.193424+00:00,172,t.me/BBB_Signals
127555,65883,"🔰 PAIR: ZKP/ USDT 💹

🟢 Position: LONG🚀

☑️ Entry Z...Loss: 0.15100🔴

💎 VIP Signals: @BBB_Support_Team ✨",12fab6e56ef64fec7521f5d6c03b56e0,2026-01-07T16:34:23+00:00,2026-01-08T15:39:15.856460+00:00,172,t.me/BBB_Signals
127592,65874,"🔰 PAIR: DYDX/ USDT 💹

🟢 Position: LONG🚀

☑️ Entry ... Loss: 0.1943🔴

💎 VIP Signals: @BBB_Support_Team ✨",115806b64cef0d397b3348030892ac4a,2026-01-07T12:44:01+00:00,2026-01-08T15:39:16.312315+00:00,172,t.me/BBB_Signals
127550,65864,"🔰 PAIR: ADA/ USDT 💹

🟢 Position: LONG🚀

☑️ Entry Z... Loss: 0.4045🔴

💎 VIP Signals: @BBB_Support_Team ✨",0ec747452f176013f42443602841c76c,2026-01-07T06:59:12+00:00,2026-01-08T15:39:15.822478+00:00,172,t.me/BBB_Signals
130520,65960,"🔰 PAIR: GUN/ USDT 💹

🟢 Position: LONG🚀

☑️ Entry Z...Loss: 0.02425🔴

💎 VIP Signals: @BBB_Support_Team ✨",8d08849c72083850274c834f75098e31,2026-01-09T15:48:49+00:00,2026-01-09T19:29:50.777930+00:00,172,t.me/BBB_Signals
130523,65953,"🔰 PAIR: ADA/ USDT 💹

🟢 Position: LONG🚀

☑️ Entry Z... Loss: 0.3904🔴

💎 VIP Signals: @BBB_Support_Team ✨",3715315c316dba0b9ae97e7e6ed1316d,2026-01-09T13:23:01+00:00,2026-01-09T19:29:50.891728+00:00,172,t.me/BBB_Signals
130527,65937,"🔰 PAIR: HYPE/ USDT 💹

🟢 Position: LONG🚀

☑️ Entry ...p Loss: 25.92🔴

💎 VIP Signals: @BBB_Support_Team ✨",c6e06520669638f867ab0d7d16eb47d6,2026-01-09T07:07:32+00:00,2026-01-09T19:29:51.293959+00:00,172,t.me/BBB_Signals
132115,65996,"🔰 PAIR: TRUMP/ USDT 💹

🟢 Position: LONG🚀

☑️ Entry...p Loss: 5.395🔴

💎 VIP Signals: @BBB_Support_Team ✨",2990bf5014a7984a3e1ee164e7dfd19f,2026-01-10T13:44:37+00:00,2026-01-11T01:38:39.687661+00:00,172,t.me/BBB_Signals
132128,65987,"🔰 PAIR: SAND/ USDT 💹

🟢 Position: LONG🚀

☑️ Entry ... Loss: 0.1165🔴

💎 VIP Signals: @BBB_Support_Team ✨",5aaf9bd0ac930f44a25d2bee04c5ca07,2026-01-10T10:22:01+00:00,2026-01-11T01:38:39.777506+00:00,172,t.me/BBB_Signals
132136,65978,"🔰 PAIR: CLO/ USDT 💹

🟢 Position: LONG🚀

☑️ Entry Z...Loss: 0.49713🔴

💎 VIP Signals: @BBB_Support_Team ✨",7335512339f4244029126bc70068b3a1,2026-01-10T08:02:58+00:00,2026-01-11T01:38:39.879064+00:00,172,t.me/BBB_Signals
134122,66040,"🔰 PAIR: ADA/ USDT 💹

🟢 Position: LONG🚀

☑️ Entry Z... Loss: 0.3922🔴

💎 VIP Signals: @BBB_Support_Team ✨",a44e000ca5cb9a18b3c3921dfe584257,2026-01-11T13:15:32+00:00,2026-01-12T06:03:47.815432+00:00,172,t.me/BBB_Signals
134120,66022,"🔰 PAIR: DOGE/ USDT 💹

🟢 Position: LONG🚀

☑️ Entry ...Loss: 0.13890🔴

💎 VIP Signals: @BBB_Support_Team ✨",6ff06b1647dd4941e21ed7da2c5becf2,2026-01-11T07:04:40+00:00,2026-01-12T06:03:47.811241+00:00,172,t.me/BBB_Signals
136274,66101,"🔰 PAIR: ADA/ USDT 💹

🟢 Position: LONG🚀

☑️ Entry Z... Loss: 0.3863🔴

💎 VIP Signals: @BBB_Support_Team ✨",0392395b3763f923c8cdb209f9c26a6a,2026-01-13T06:11:32+00:00,2026-01-13T09:06:54.929473+00:00,172,t.me/BBB_Signals
136284,66089,"🔰 PAIR: SUI/ USDT 💹

🟢 Position: LONG🚀

☑️ Entry Z... Loss: 1.7912🔴

💎 VIP Signals: @BBB_Support_Team ✨",2bfd66a0a2cddc6d57f335e8f972422e,2026-01-12T16:35:04+00:00,2026-01-13T09:06:55.228062+00:00,172,t.me/BBB_Signals
136327,66079,"🔰 PAIR: ID/ USDT 💹

🟢 Position: LONG🚀

☑️ Entry Zo... Loss: 0.0743🔴

💎 VIP Signals: @BBB_Support_Team ✨",cb0d9fba509bbf84abbbe43d18f452e3,2026-01-12T13:29:25+00:00,2026-01-13T09:06:55.785359+00:00,172,t.me/BBB_Signals
136276,66068,"🔰 PAIR: MAGIC/ USDT 💹

🟢 Position: LONG🚀

☑️ Entry... Loss: 0.0960🔴

💎 VIP Signals: @BBB_Support_Team ✨",7c30ff0fd5ddb706e9dc01a0b7da5c03,2026-01-12T09:39:05+00:00,2026-01-13T09:06:55.002265+00:00,172,t.me/BBB_Signals
138778,66139,"🔰 PAIR: ID/ USDT 💹

🟢 Position: LONG🚀

☑️ Entry Zo... Loss: 0.0750🔴

💎 VIP Signals: @BBB_Support_Team ✨",285ca5b1916c3d5146575aa00d091a1b,2026-01-14T09:07:42+00:00,2026-01-14T09:16:18.281179+00:00,172,t.me/BBB_Signals
138771,66126,"🔰 PAIR: KAS/ USDT 💹

🟢 Position: LONG🚀

☑️ Entry Z...oss: 0.046890🔴

💎 VIP Signals: @BBB_Support_Team ✨",fb70d2c6be44ec606dd3e4bbe5a00c94,2026-01-13T16:47:36+00:00,2026-01-14T09:16:17.946101+00:00,172,t.me/BBB_Signals
141313,66179,"🔰 PAIR: DASH/ USDT 💹

🟢 Position: LONG🚀

☑️ Entry ...p Loss: 73.50🔴

💎 VIP Signals: @BBB_Support_Team ✨",b7317f9880aa893dc35b36e898501cf3,2026-01-15T09:56:48+00:00,2026-01-15T14:00:26.799838+00:00,172,t.me/BBB_Signals
141292,66173,"🔰 PAIR: RIVER/ USDT 💹

🟢 Position: LONG🚀

☑️ Entry...Loss: 19.2760🔴

💎 VIP Signals: @BBB_Support_Team ✨",ef64b90fd59b31b3b9d2868848d5ad43,2026-01-15T07:26:06+00:00,2026-01-15T14:00:26.142327+00:00,172,t.me/BBB_Signals
141302,66159,"🔰 PAIR: TAO/ USDT 💹

🟢 Position: LONG🚀

☑️ Entry Z...p Loss: 291.5🔴

💎 VIP Signals: @BBB_Support_Team ✨",4280cf4ce1c4fbb3a6ff9a44b0f8e812,2026-01-14T17:48:49+00:00,2026-01-15T14:00:26.711500+00:00,172,t.me/BBB_Signals
141260,66146,"🔰 PAIR: SUI/ USDT 💹

🟢 Position: LONG🚀

☑️ Entry Z... Loss: 1.7980🔴

💎 VIP Signals: @BBB_Support_Team ✨",ea96f06427cd82e1df46d088952ac5b4,2026-01-14T13:12:32+00:00,2026-01-15T14:00:25.619004+00:00,172,t.me/BBB_Signals
143828,66234,"🔰 PAIR: XRP/ USDT 💹

🟢 Position: LONG🚀

☑️ Entry Z... Loss: 2.0150🔴

💎 VIP Signals: @BBB_Support_Team ✨",7789c237f997646835faf1af61b045ea,2026-01-16T16:18:03+00:00,2026-01-16T16:58:01.234685+00:00,172,t.me/BBB_Signals
143839,66220,"🔰 PAIR: ALICE/ USDT 💹

🟢 Position: LONG🚀

☑️ Entry... Loss: 0.1691🔴

💎 VIP Signals: @BBB_Support_Team ✨",954812d5ae1d99932eccf990bb846a89,2026-01-16T10:43:42+00:00,2026-01-16T16:58:01.426509+00:00,172,t.me/BBB_Signals
143825,66206,"🔰 PAIR: DOGE/ USDT 💹

🟢 Position: LONG🚀

☑️ Entry ...Loss: 0.13895🔴

💎 VIP Signals: @BBB_Support_Team ✨",b38bae158930a47a0bc287c6441e4f92,2026-01-16T06:56:26+00:00,2026-01-16T16:58:00.960136+00:00,172,t.me/BBB_Signals
143837,66189,"🔰 PAIR: GUN/ USDT 💹

🟢 Position: LONG🚀

☑️ Entry Z...Loss: 0.02570🔴

💎 VIP Signals: @BBB_Support_Team ✨",39d7dc0cb129463d2c4191791519fc55,2026-01-15T15:18:44+00:00,2026-01-16T16:58:01.423423+00:00,172,t.me/BBB_Signals
