id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
23879,5121,"#NEAR/USDT = 120% Profit in Today’s Vip Signal🔥

V...s🔥

For Premium Subscription Contact @Andrew_CGS ✅",4cff84089d7a885e1c63d5d8d0405ebb,2025-11-20T14:14:22+00:00,2025-11-20T15:43:51.092969+00:00,144,t.me/CGScryptoGenuine
23880,5118,"CGS Free Signals 🔥

#ETH = 6600% Profit 
#HBAR = 2...ssible when you follow a real Mentor @Andrew_CGS ✅",63f67b8453bb721daaabd423d13a4ab1,2025-11-20T13:24:07+00:00,2025-11-20T15:43:51.129882+00:00,144,t.me/CGScryptoGenuine
24825,5124,"CGS-Premium Signal 💯

#NEAR/USDT = 1100% Profit Do... 💯

For Premium Subscription Contact @Andrew_CGS ✅",5b6ab2889e150f6d8fe0b847df2e2c54,2025-11-21T11:05:05+00:00,2025-11-21T16:05:04.402096+00:00,144,t.me/CGScryptoGenuine
24827,5123,"CGS-Premium Signal 💯

#NEAR/USDT = 500% Profit Done🔥

Enjoy Today’s Profit Guys 😉

@Andrew_CGS ✅",752fc03bda31ee3d1239b0733b31b09a,2025-11-20T15:57:45+00:00,2025-11-21T16:05:04.471417+00:00,144,t.me/CGScryptoGenuine
27149,5127,"#SOL/USDT = 120% Profit in CGS-Premium Channel🔥

W...inuous Losses⚠️

For Premium Contact @Andrew_CGS ✅",3dfbf277ac8f4e2d90577a7e3a73d422,2025-11-22T11:42:31+00:00,2025-11-22T18:05:45.690699+00:00,144,t.me/CGScryptoGenuine
28505,5141,"Use Only 2% Funds From Your Total Account and Take...e Profits in our Free Trail Signal🔥

@Andrew_CGS ✅",2d781a6c23433e3ecec1c900cea5aa71,2025-11-23T16:43:38+00:00,2025-11-23T17:22:30.588039+00:00,144,t.me/CGScryptoGenuine
28506,5140,"Free Signal 🔥

Use only 2% Funds

#XLM/USDT (SHORT... Profi
T.P 3 = 1000% Profit 

🔴Stop loss at 0.2720",32b2b8e7833f2ca3efa5513c1d3c942d,2025-11-23T16:42:37+00:00,2025-11-23T17:22:30.631505+00:00,144,t.me/CGScryptoGenuine
28507,5129,"🔈Successful Personal Trades🔥

✅Calculate The Amoun...⚠️⚠️Time wasters stay away

Contact: @Andrew_CGS ✅",2ab1256feb81da5e7599ac70177baf2b,2025-11-23T04:37:25+00:00,2025-11-23T17:22:30.708564+00:00,144,t.me/CGScryptoGenuine
32968,5144,"#SOL/USDT = 110% profit in free trail signal🔥

Thi...y basis

To join CGS-Premium contact @Andrew_CGS ✅",c8b6fe22815e2fe6f9c56be8788120d1,2025-11-25T15:45:16+00:00,2025-11-25T17:59:47.680301+00:00,144,t.me/CGScryptoGenuine
32914,5143,"Use Only 2% Funds From Your Total Account and Take...e Profits in our Free Trail Signal🔥

@Andrew_CGS ✅",2d781a6c23433e3ecec1c900cea5aa71,2025-11-25T13:13:04+00:00,2025-11-25T17:59:46.984917+00:00,144,t.me/CGScryptoGenuine
35456,5154,"🔈Successful Personal Trades🔥

✅Calculate The Amoun...⚠️⚠️Time wasters stay away

Contact: @Andrew_CGS ✅",2ab1256feb81da5e7599ac70177baf2b,2025-11-26T16:26:01+00:00,2025-11-26T18:21:52.794957+00:00,144,t.me/CGScryptoGenuine
37848,5165,"Use Only 2% Funds From Your Total Account and Take...e Profits in our Free Trail Signal🔥

@Andrew_CGS ✅",2d781a6c23433e3ecec1c900cea5aa71,2025-11-27T11:26:10+00:00,2025-11-27T19:52:18.046088+00:00,144,t.me/CGScryptoGenuine
37847,5164,"Free Signal 🔥

Use only 2% Funds

#PEPE/USDT (SHOR...rofi
T.P 3 = 1000% Profit 

🔴Stop loss at 0.005150",712c7fece002b302eb78af6b13ba1fd0,2025-11-27T11:25:54+00:00,2025-11-27T19:52:18.036295+00:00,144,t.me/CGScryptoGenuine
