id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
19033,5776,"DOGS/USDT в SHORT и берет 25 плечо 

Через пару минут выставлю расписанный сигнал 👍",357d9b21cc50851a4921428b209d92ef,2024-11-11T10:29:34+00:00,2025-11-14T20:30:37.355200+00:00,70,t.me/CryptoBullet_0
19038,5774,"API3/USDT в лонг и берет 25 плечо 

Через пару минут выставлю расписанный сигнал 👍",fbdaa307197f0ae4895bd45398465f60,2024-11-11T08:52:36+00:00,2025-11-14T20:30:37.567625+00:00,70,t.me/CryptoBullet_0
19039,5773,Публикую сигнал? Я уже заканчиваю его оформлять 🔥🔥,792e5fe72786027254a9d82b91d178dc,2024-11-11T08:27:58+00:00,2025-11-14T20:30:37.571688+00:00,70,t.me/CryptoBullet_0
19037,5772,"💸 Доброе утро, Bullet на связи 🤙 

Я полностью зар...икую сделку, главное не забывайте про реакции! 🔥🔥🔥",80a938ca4ba99b375a469d46971629e1,2024-11-11T07:04:57+00:00,2025-11-14T20:30:37.498572+00:00,70,t.me/CryptoBullet_0
19043,5771,"Готовы торговать после выходных?

🔥 - Торгую, ожидаю биток по 100к
🎉 - Отдыхаю после выходных",db120cbb21087a9b09f1cad076bc36db,2024-11-11T06:19:02+00:00,2025-11-14T20:30:37.685480+00:00,70,t.me/CryptoBullet_0
19033,5776,"DOGS/USDT в SHORT и берет 25 плечо 

Через пару минут выставлю расписанный сигнал 👍",357d9b21cc50851a4921428b209d92ef,2024-11-11T10:29:34+00:00,2025-11-14T20:30:37.355200+00:00,70,t.me/CryptoBullet_0
19038,5774,"API3/USDT в лонг и берет 25 плечо 

Через пару минут выставлю расписанный сигнал 👍",fbdaa307197f0ae4895bd45398465f60,2024-11-11T08:52:36+00:00,2025-11-14T20:30:37.567625+00:00,70,t.me/CryptoBullet_0
19039,5773,Публикую сигнал? Я уже заканчиваю его оформлять 🔥🔥,792e5fe72786027254a9d82b91d178dc,2024-11-11T08:27:58+00:00,2025-11-14T20:30:37.571688+00:00,70,t.me/CryptoBullet_0
19037,5772,"💸 Доброе утро, Bullet на связи 🤙 

Я полностью зар...икую сделку, главное не забывайте про реакции! 🔥🔥🔥",80a938ca4ba99b375a469d46971629e1,2024-11-11T07:04:57+00:00,2025-11-14T20:30:37.498572+00:00,70,t.me/CryptoBullet_0
19043,5771,"Готовы торговать после выходных?

🔥 - Торгую, ожидаю биток по 100к
🎉 - Отдыхаю после выходных",db120cbb21087a9b09f1cad076bc36db,2024-11-11T06:19:02+00:00,2025-11-14T20:30:37.685480+00:00,70,t.me/CryptoBullet_0
