id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
19054,11208,Profit cards ?,e1f32ffaca4b2a147ea286ebe6e44789,2025-11-13T18:02:41+00:00,2025-11-14T20:30:38.561546+00:00,60,t.me/CryptoCoinsCoachCF
19059,11207,SL tightened to 0.04605$,177d5273c1cbcdd3b8bb429197f223cf,2025-11-13T17:47:47+00:00,2025-11-14T20:30:38.778434+00:00,60,t.me/CryptoCoinsCoachCF
19058,11206,"#GOAT SHORT SETUP

SL : 0.04684$",ca01aa75656cd8f3651a8e2773f20c34,2025-11-13T17:32:47+00:00,2025-11-14T20:30:38.765905+00:00,60,t.me/CryptoCoinsCoachCF
19060,11205,"#FOLKS +17% 🔼

only with",dad754bd7c0f36db40f8548ca3899a0e,2025-11-13T17:17:46+00:00,2025-11-14T20:30:38.812364+00:00,60,t.me/CryptoCoinsCoachCF
19054,11208,Profit cards ?,e1f32ffaca4b2a147ea286ebe6e44789,2025-11-13T18:02:41+00:00,2025-11-14T20:30:38.561546+00:00,60,t.me/CryptoCoinsCoachCF
19059,11207,SL tightened to 0.04605$,177d5273c1cbcdd3b8bb429197f223cf,2025-11-13T17:47:47+00:00,2025-11-14T20:30:38.778434+00:00,60,t.me/CryptoCoinsCoachCF
19058,11206,"#GOAT SHORT SETUP

SL : 0.04684$",ca01aa75656cd8f3651a8e2773f20c34,2025-11-13T17:32:47+00:00,2025-11-14T20:30:38.765905+00:00,60,t.me/CryptoCoinsCoachCF
19060,11205,"#FOLKS +17% 🔼

only with",dad754bd7c0f36db40f8548ca3899a0e,2025-11-13T17:17:46+00:00,2025-11-14T20:30:38.812364+00:00,60,t.me/CryptoCoinsCoachCF
21794,11218,Typical Monday,9773fb00e520ef3531db983fc257d28d,2025-11-17T14:38:21+00:00,2025-11-17T16:29:48.046936+00:00,60,t.me/CryptoCoinsCoachCF
21781,11217,Cut #FUN -5% ❌,866cdba6fda095bff7f0431538b7788a,2025-11-17T09:08:15+00:00,2025-11-17T16:29:47.835892+00:00,60,t.me/CryptoCoinsCoachCF
21791,11216,No profit cards ?,6bef2fd281c3ddd38778682083fe16bf,2025-11-17T07:53:13+00:00,2025-11-17T16:29:48.043507+00:00,60,t.me/CryptoCoinsCoachCF
21811,11214,"#FUN BUY SETUP

SL: 0.002030",cca071e239fe3ceb83e4ceed1ce26b87,2025-11-17T07:23:20+00:00,2025-11-17T16:29:48.235875+00:00,60,t.me/CryptoCoinsCoachCF
21805,11213,"Market cap
$24.46M",152b4d60a397568ad5075ed0ba5d27fe,2025-11-17T07:23:13+00:00,2025-11-17T16:29:48.087495+00:00,60,t.me/CryptoCoinsCoachCF
21815,11211,"Playing this long with low risk , 

Placed entries...agement comes first : always max risk per trade 2%",865f864a3e1d3fe70916d5203033821b,2025-11-16T21:23:00+00:00,2025-11-17T16:29:48.371628+00:00,60,t.me/CryptoCoinsCoachCF
21814,11210,USDT dominance ready drop so do BTC Dominance 😳👀,241ada098b0a1be14508a3e49e49da8a,2025-11-16T20:53:10+00:00,2025-11-17T16:29:48.333493+00:00,60,t.me/CryptoCoinsCoachCF
