id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
20217,35671,"📉 Ethereum is currently in a falling wedge pattern...beyond $6,000 in the mid-term 🚀

@CryptoRROFFICAIL",d6ce05503676270adedbab853f1824f4,2025-11-16T09:35:29+00:00,2025-11-16T14:31:58.932885+00:00,96,t.me/CryptoRROFFICAIL
20227,35670,"This image compares two time periods (2019 and 202...sed in crypto sentiment cycles.

@CryptoRROFFICAIL",0081c7d66e813d215272469df41b7939,2025-11-14T16:06:16+00:00,2025-11-16T14:31:59.137524+00:00,96,t.me/CryptoRROFFICAIL
20230,35668,"Buy/Long #MITO  now x10 lev

@CryptoRROFFICAIL",df01a52ee9a7e374487374be359a34bb,2025-11-14T15:23:43+00:00,2025-11-16T14:31:59.208308+00:00,96,t.me/CryptoRROFFICAIL
20225,35667,"#MITO forming bullish momentum🔥 Price is breaking ...6, $0.1035, and $0.1097🎯 #MITO 

@CryptoRROFFICAIL",e2eaa135c1f7245dec43764b16d7ea78,2025-11-14T15:21:24+00:00,2025-11-16T14:31:59.084037+00:00,96,t.me/CryptoRROFFICAIL
20226,35665,"#XRP gearing up for breakout🔥 Ripple is consolidat...2, and $3.1938🎯

 #XRP #Crypto 

@CryptoRROFFICAIL",b675aba6738c1d14e36d029a6254be8f,2025-11-13T09:19:15+00:00,2025-11-16T14:31:59.125294+00:00,96,t.me/CryptoRROFFICAIL
22518,35675,"First Weekly Warning Signal on Bitcoin ⚠️

This is...with no umbrella.

#BTC #Crypto

@CryptoRROFFICAIL",3051db39dcbe5864f5a47c4b0aff3b42,2025-11-18T10:01:20+00:00,2025-11-18T15:11:51.080829+00:00,96,t.me/CryptoRROFFICAIL
22528,35673,"Buy/Long #MITO  now x10 lev

@CryptoRROFFICAIL",c7700e72f750df77d0e41627a7b0fc5d,2025-11-18T08:59:57+00:00,2025-11-18T15:11:51.233159+00:00,96,t.me/CryptoRROFFICAIL
24263,35679,"$ARB rebounding from key support🔥 Arbitrum is test...d $0.3436, $0.4043, and $0.4633

@CryptoRROFFICAIL",e362238c77413ce197f7dae0d057781d,2025-11-20T13:16:14+00:00,2025-11-20T15:44:18.721651+00:00,96,t.me/CryptoRROFFICAIL
24259,35678,"$SUPRA Analysis Buy Signal :

#SUPRA is entering a...y setup ahead of the next move.

@CryptoRROFFICAIL",235478d2b9a13630aea06a58ccd66488,2025-11-20T09:35:35+00:00,2025-11-20T15:44:18.587390+00:00,96,t.me/CryptoRROFFICAIL
24260,35677,"I’m about to drop a massive pick 🔥 — volume is pum...eady to explode… stay sharp! 🚀 

@CryptoRROFFICAIL",c0e5684868f944eb2ff157d479e66ed0,2025-11-20T08:54:48+00:00,2025-11-20T15:44:18.639431+00:00,96,t.me/CryptoRROFFICAIL
29105,35685,"#SOL entering a major reversal zone🔥

Solana has d...ion of the next impulsive wave🎯

@CryptoRROFFICAIL",bba2ebf3e83d3014fae423b5d808a620,2025-11-23T16:05:02+00:00,2025-11-23T17:23:05.519842+00:00,96,t.me/CryptoRROFFICAIL
29106,35682,"#MAVIA breaking out of the wedge🔥

Price just esca...on the breakout follow-through🎯

@CryptoRROFFICAIL",ab16b46a3061298cbc6cdaeafd8e2c8d,2025-11-23T13:06:38+00:00,2025-11-23T17:23:05.805388+00:00,96,t.me/CryptoRROFFICAIL
29128,35681,"#ASTER showing bullish continuation potential🔥

AS...aiting for momentum to kick in🎯

@CryptoRROFFICAIL",d85a6e8de04e4a56c48ccb2a80d83042,2025-11-23T12:32:03+00:00,2025-11-23T17:23:06.832759+00:00,96,t.me/CryptoRROFFICAIL
41680,35697,"#BTC Update

Nothing has changed in the overall st...ll be the real confirmation. 📉📈

@CryptoRROFFICAIL",1d4beb52cdb60d2800bfba5c1add2830,2025-11-28T16:03:54+00:00,2025-11-29T19:15:18.014490+00:00,96,t.me/CryptoRROFFICAIL
41677,35693,"$BNB is setting up a clean bullish reversal 📈🔥

Pr...or a strong impulsive move up 💥

@CryptoRROFFICAIL",690c7b733de42d01a4aca6402c4dead0,2025-11-27T20:28:45+00:00,2025-11-29T19:15:17.992361+00:00,96,t.me/CryptoRROFFICAIL
41686,35692,"#ETH forming a bullish reversal zone🔥

Ethereum is...ntum could flip fast from here🎯

@CryptoRROFFICAIL",72e388934d93e30e5db6d96aa762f2ce,2025-11-27T20:20:48+00:00,2025-11-29T19:15:18.050285+00:00,96,t.me/CryptoRROFFICAIL
