id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
19106,901,🆘🆘⏰⏰✔️✔️,7f7ddb3b7068e573a179bc5d9b442e9a,2025-06-26T09:28:53+00:00,2025-11-14T20:30:42.389433+00:00,59,t.me/Crypto_Eyes100_Scanner
19103,900,"JOIN ALL MEMBER'S  NEW TELEGRAM CHANNEL 👆👆👆
This i...wards, you will get signals  work on this channel!",5c88dbc8659a79342bfcf22fedd9d3b7,2025-06-26T09:28:53+00:00,2025-11-14T20:30:42.358208+00:00,59,t.me/Crypto_Eyes100_Scanner
19109,899,https://t.me/eyes100Crypto_Scanner,01de8127167dc626da394101e721b0ae,2025-06-26T09:19:59+00:00,2025-11-14T20:30:42.557459+00:00,59,t.me/Crypto_Eyes100_Scanner
19113,898,"#ONDO is fundamentally strong coin which currently...lows now

Looking for a rally to begin

#DeFi #RWA",c12e5d50c0d27ff42918eeebfcda2b34,2025-06-25T14:29:20+00:00,2025-11-14T20:30:42.824048+00:00,59,t.me/Crypto_Eyes100_Scanner
19110,897,"#SPX crossed out of the Local Consolidation 

Soon...We have a Bullish Flag on daily Breakout is coming",60b3ed7738812d3fe23d2b94b19e0cf2,2025-06-25T12:11:35+00:00,2025-11-14T20:30:42.611794+00:00,59,t.me/Crypto_Eyes100_Scanner
19106,901,🆘🆘⏰⏰✔️✔️,7f7ddb3b7068e573a179bc5d9b442e9a,2025-06-26T09:28:53+00:00,2025-11-14T20:30:42.389433+00:00,59,t.me/Crypto_Eyes100_Scanner
19103,900,"JOIN ALL MEMBER'S  NEW TELEGRAM CHANNEL 👆👆👆
This i...wards, you will get signals  work on this channel!",5c88dbc8659a79342bfcf22fedd9d3b7,2025-06-26T09:28:53+00:00,2025-11-14T20:30:42.358208+00:00,59,t.me/Crypto_Eyes100_Scanner
19109,899,https://t.me/eyes100Crypto_Scanner,01de8127167dc626da394101e721b0ae,2025-06-26T09:19:59+00:00,2025-11-14T20:30:42.557459+00:00,59,t.me/Crypto_Eyes100_Scanner
19113,898,"#ONDO is fundamentally strong coin which currently...lows now

Looking for a rally to begin

#DeFi #RWA",c12e5d50c0d27ff42918eeebfcda2b34,2025-06-25T14:29:20+00:00,2025-11-14T20:30:42.824048+00:00,59,t.me/Crypto_Eyes100_Scanner
19110,897,"#SPX crossed out of the Local Consolidation 

Soon...We have a Bullish Flag on daily Breakout is coming",60b3ed7738812d3fe23d2b94b19e0cf2,2025-06-25T12:11:35+00:00,2025-11-14T20:30:42.611794+00:00,59,t.me/Crypto_Eyes100_Scanner
