id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
19036,3456,Join now New channel ✈️✈️,ae446c3d26faf98d96f83525593b0523,2025-07-09T06:32:50+00:00,2025-11-14T20:30:37.481661+00:00,71,t.me/Crypto_Inner_Circle5
19032,3455,https://t.me/Binance_Killers7,f464bfd188ffd72498c637a9ad3fa28a,2025-07-09T06:31:44+00:00,2025-11-14T20:30:37.319923+00:00,71,t.me/Crypto_Inner_Circle5
19035,3454,"📍Coin : #DOGS/USDT

🟢 LONG 

➡️ Entry: 0.0001249 -...1311
🎯 Target 6: 0.0001324

⛔️ StopLoss: 0.0001170",fb9434a3c7df9b069015d307435962ac,2025-07-09T04:40:53+00:00,2025-11-14T20:30:37.413018+00:00,71,t.me/Crypto_Inner_Circle5
19034,3453,"📍Coin : #MAGIC/USDT

🟢 LONG 

➡️ Entry: 0.1735 - 0... 5: 0.1829
😵 Target 6: 0.1848

⛔️ StopLoss: 0.1605",4ca21d5ef59cf6438bd276c498c0fb08,2025-07-09T04:39:46+00:00,2025-11-14T20:30:37.407830+00:00,71,t.me/Crypto_Inner_Circle5
19041,3452,"PREMIUM PLANS ✅



[ LIMITED TIME FEE ] 

✨ QUICK ...tact➡️@Crypto_paidsignals✅ For Membership ✈️✈️✈️✈️",20872aad39e38caa8125cbbf4fca3669,2025-07-08T18:10:48+00:00,2025-11-14T20:30:37.635341+00:00,71,t.me/Crypto_Inner_Circle5
19036,3456,Join now New channel ✈️✈️,ae446c3d26faf98d96f83525593b0523,2025-07-09T06:32:50+00:00,2025-11-14T20:30:37.481661+00:00,71,t.me/Crypto_Inner_Circle5
19032,3455,https://t.me/Binance_Killers7,f464bfd188ffd72498c637a9ad3fa28a,2025-07-09T06:31:44+00:00,2025-11-14T20:30:37.319923+00:00,71,t.me/Crypto_Inner_Circle5
19035,3454,"📍Coin : #DOGS/USDT

🟢 LONG 

➡️ Entry: 0.0001249 -...1311
🎯 Target 6: 0.0001324

⛔️ StopLoss: 0.0001170",fb9434a3c7df9b069015d307435962ac,2025-07-09T04:40:53+00:00,2025-11-14T20:30:37.413018+00:00,71,t.me/Crypto_Inner_Circle5
19034,3453,"📍Coin : #MAGIC/USDT

🟢 LONG 

➡️ Entry: 0.1735 - 0... 5: 0.1829
😵 Target 6: 0.1848

⛔️ StopLoss: 0.1605",4ca21d5ef59cf6438bd276c498c0fb08,2025-07-09T04:39:46+00:00,2025-11-14T20:30:37.407830+00:00,71,t.me/Crypto_Inner_Circle5
19041,3452,"PREMIUM PLANS ✅



[ LIMITED TIME FEE ] 

✨ QUICK ...tact➡️@Crypto_paidsignals✅ For Membership ✈️✈️✈️✈️",20872aad39e38caa8125cbbf4fca3669,2025-07-08T18:10:48+00:00,2025-11-14T20:30:37.635341+00:00,71,t.me/Crypto_Inner_Circle5
