id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
177307,39940,"🚀Crypto Safe Calls | Futures Signal

⚡️#PUMPUSDT⚡️...ement)
Capital Usage: Use only 2–3% of total funds",fc6d3cb8ae22773ce5032f5a9181ca20,2026-02-03T11:05:43+00:00,2026-02-03T11:49:22.637204+00:00,128,t.me/Crypto_Safe_Calls
185179,39973,"🚀Crypto Safe Calls | Futures Signal

⚡️#ACUUSDT⚡️
...ement)
Capital Usage: Use only 2–3% of total funds",a6f094ab1372446e72f9367502949246,2026-02-07T12:40:23+00:00,2026-02-07T15:14:35.889702+00:00,128,t.me/Crypto_Safe_Calls
185237,39963,"🚀Crypto Safe Calls | Futures Signal

⚡️#FHEUSDT⚡️
...ement)
Capital Usage: Use only 2–3% of total funds",1193776876c94c1850b689f750afaf43,2026-02-06T11:44:39+00:00,2026-02-07T15:14:37.348352+00:00,128,t.me/Crypto_Safe_Calls
188758,39989,"🚀Crypto Safe Calls | Futures Signal

⚡️#SPACEUSDT⚡...ement)
Capital Usage: Use only 2–3% of total funds",9f0bfe6629551669856a2a655fb09476,2026-02-09T14:17:04+00:00,2026-02-09T20:04:19.724064+00:00,128,t.me/Crypto_Safe_Calls
188732,39983,"🚀Crypto Safe Calls | Futures Signal

⚡️#COWUSDT⚡️
...ement)
Capital Usage: Use only 2–3% of total funds",251098e4f90094fdb8fdce6b5123d78a,2026-02-08T10:29:23+00:00,2026-02-09T20:04:19.340164+00:00,128,t.me/Crypto_Safe_Calls
192183,40006,"🚀Crypto Safe Calls | Futures Signal

⚡️#MAGICUSDT⚡...ement)
Capital Usage: Use only 2–3% of total funds",849889a476f8a2bc9c09224805134c1b,2026-02-11T11:42:34+00:00,2026-02-12T02:15:55.530321+00:00,128,t.me/Crypto_Safe_Calls
192175,39998,"🚀Crypto Safe Calls | Futures Signal

⚡️#CFXUSDT⚡️
...ement)
Capital Usage: Use only 2–3% of total funds",5cb6e0cc120d1656a82e9e1533607dd1,2026-02-10T14:08:02+00:00,2026-02-12T02:15:55.430885+00:00,128,t.me/Crypto_Safe_Calls
195156,40013,"💰$BTCUSDT | 30M Timeframe 🕯

BTC has broken down f...ownside is possible.

📌Use stop-loss on all longs.",dc6b5341882412135d851e548aaecc48,2026-02-12T05:17:00+00:00,2026-02-13T04:26:06.291222+00:00,128,t.me/Crypto_Safe_Calls
197416,40040,"🚀Crypto Safe Calls | Futures Signal

⚡️#GPSUSDT⚡️
...ement)
Capital Usage: Use only 2–3% of total funds",0ae1bb9e43a9bef5bcb44bef550d603b,2026-02-14T14:34:03+00:00,2026-02-14T14:54:27.815802+00:00,128,t.me/Crypto_Safe_Calls
197430,40023,"🚀Crypto Safe Calls | Futures Signal

⚡️#JOEUSDT⚡️
...ement)
Capital Usage: Use only 2–3% of total funds",66fe9d2da82ce6c39e2b8bb3df878899,2026-02-13T13:41:21+00:00,2026-02-14T14:54:28.170240+00:00,128,t.me/Crypto_Safe_Calls
200025,40070,"🚀Crypto Safe Calls | Futures Signal

⚡️#SKLUSDT⚡️
...ement)
Capital Usage: Use only 2–3% of total funds",0ccc878a993dfeef390ecc7ee00f683f,2026-02-16T09:06:04+00:00,2026-02-16T12:46:24.702381+00:00,128,t.me/Crypto_Safe_Calls
200028,40055,"🚀Crypto Safe Calls | Futures Signal

⚡️#TREEUSDT⚡️...ement)
Capital Usage: Use only 2–3% of total funds",8e3c20c7bfd88a54bad505af32545b2e,2026-02-15T14:26:10+00:00,2026-02-16T12:46:24.711259+00:00,128,t.me/Crypto_Safe_Calls
200039,40044,"🚀Crypto Safe Calls | Futures Signal

⚡️#BANKUSDT⚡️...ement)
Capital Usage: Use only 2–3% of total funds",2980a3788ac23a423e4209904f6fd3d1,2026-02-14T15:59:02+00:00,2026-02-16T12:46:24.812725+00:00,128,t.me/Crypto_Safe_Calls
202549,40090,"🚀Crypto Safe Calls | Futures Signal

⚡️#IDUSDT⚡️

...ement)
Capital Usage: Use only 2–3% of total funds",9cd0fc4b59a77af3a0447b35f5d2c272,2026-02-17T11:26:26+00:00,2026-02-17T13:02:53.345939+00:00,128,t.me/Crypto_Safe_Calls
202545,40080,"💰$BTCUSDT | 2Hr Timeframe 🕯

BTC has broken down f...t position can provide a good profit opportunity.📌",5b8b4bbcf758709dd6495a7231336da5,2026-02-16T16:05:48+00:00,2026-02-17T13:02:53.334972+00:00,128,t.me/Crypto_Safe_Calls
202559,40078,"$BTC 💰 LONG SETUP 📈

Targets: 70000 - 72000.

❌Sto...ement)
Capital Usage: Use only 2–3% of total funds",bcf56af78774c90d5acb881d40626981,2026-02-16T15:21:41+00:00,2026-02-17T13:02:53.719531+00:00,128,t.me/Crypto_Safe_Calls
