id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
24691,21123,🔥,cbe676ae0a8ad11e8b2edd3f5089051e,2025-11-21T14:59:37+00:00,2025-11-21T16:04:56.262089+00:00,169,t.me/Crypto_Trackers
24694,21122,"EVERYDAY 10 SIGNALS FOR FREE ⚡️⚡️

🔠🔠🔠🔠🟢🔠🔠🔠🔠🔠🔠🔠

https://t.me/+xVWLONnOkgkzYWJl",c1d280ccfb54411cb235e697a83b0623,2025-11-21T14:20:48+00:00,2025-11-21T16:04:56.387226+00:00,169,t.me/Crypto_Trackers
24695,20794,$BTC has dropped -20% since the ATH.,0dd7da5c1cc94db27de8aa8e3fa16064,2025-11-05T14:04:08+00:00,2025-11-21T16:04:56.410734+00:00,169,t.me/Crypto_Trackers
26893,21144,"💎 GEM group is open now 💎

Link only 5min : 🤫

htt...://t.me/+xVWLONnOkgkzYWJl

IT'S A PRIVATE GROUP! 🔥",5d6fd4af31103fcf7efe1b0479abcc8a,2025-11-22T16:55:43+00:00,2025-11-22T18:05:28.807494+00:00,169,t.me/Crypto_Trackers
28354,21159,"📣📣🎁‼️Surprise‼️🎁📣📣

We are opening our secret chan...inutes. Join now 😊

https://t.me/+xVWLONnOkgkzYWJl",996b42cd9ffe122fcd94861123d24ecb,2025-11-23T16:15:05+00:00,2025-11-23T17:22:07.993699+00:00,169,t.me/Crypto_Trackers
30327,21176,"🔵Alt coin Future Channel Is Open For My 20 Members 👇 

https://t.me/+xVWLONnOkgkzYWJl

Join Guys 🔥",8d1702773dfea09db57159a6caed5339,2025-11-24T16:35:11+00:00,2025-11-24T17:37:22.544476+00:00,169,t.me/Crypto_Trackers
32839,21198,"⭐️Free Premium 

📌Only for first 20 members 

https://t.me/+xVWLONnOkgkzYWJl",36f5c5bf9f50317420c04abcb3ba6604,2025-11-25T17:32:55+00:00,2025-11-25T17:59:37.513067+00:00,169,t.me/Crypto_Trackers
35261,21223,"💥 Free Premium 

📣 Only for first 20 members 

https://t.me/+K1hcuUyUpOJkNDQ1",4998b0e95f95967f7d0308dce2a32bd1,2025-11-26T18:07:49+00:00,2025-11-26T18:21:37.225439+00:00,169,t.me/Crypto_Trackers
35259,21209,"🇺🇸 Initial Jobless Claims drops today at 08:30AM (ET).

Prepare for volatility!",03f14ce5fc325a7adf3bf1eb29e3ad7c,2025-11-26T07:57:28+00:00,2025-11-26T18:21:37.129291+00:00,169,t.me/Crypto_Trackers
37630,21241,"🔼 VIP SIGNAL FOR FREE 🔼

The link is deleted after.../t.me/+K1hcuUyUpOJkNDQ1

WE ACCEPT ONLY 20 MEMBERS",fa7f5fee8f53804b52c68a2d9292bbac,2025-11-27T17:28:03+00:00,2025-11-27T19:52:00.003876+00:00,169,t.me/Crypto_Trackers
