id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
21181,22025,"JUST IN: Michael Saylor's 'Strategy' buys 8,178 Bitcoin worth $835 million.",6aa2b6f09ff14171e404b0c214cf1877,2025-11-17T13:30:23+00:00,2025-11-17T16:29:07.418632+00:00,130,t.me/Crypto_World_Signalss
21180,22024,Bitcoin is having its worst Q4 since 2018.,d43667016ee65db5209e765692f1ddd3,2025-11-17T12:36:53+00:00,2025-11-17T16:29:07.416821+00:00,130,t.me/Crypto_World_Signalss
21182,22023,JUST IN: 🇸🇬 Singapore Exchange to launch Bitcoin and crypto perpetual futures starting November 24 🚀,cbf26d7b06405c2de2a5c9aafe477322,2025-11-17T12:22:05+00:00,2025-11-17T16:29:07.429478+00:00,130,t.me/Crypto_World_Signalss
21178,22022,🇺🇸 UPDATE: Markets see a 45.8% chance of a Fed rate cut in December.,4066f685a27914e358f8c0f8eb034fd6,2025-11-17T11:53:04+00:00,2025-11-17T16:29:07.345754+00:00,130,t.me/Crypto_World_Signalss
21179,22021,"🕯 Crypto Fear and Greed Index 
🛡  Index Value : 14
👀 Sentiment :  Extreme Fear
🤑 BTC Price : $94,500",1b2ad05521befc621685fb824e229546,2025-11-17T05:29:59+00:00,2025-11-17T16:29:07.395450+00:00,130,t.me/Crypto_World_Signalss
20055,22019,"BUY #TON AT 1.85-1.80

Target:- 1.90-2.00-2.20-2.50

SL:- 1.70 

LEV:- 10 X",cdfa8cd5a80c8933b35a86df454ab3b6,2025-11-15T05:33:51+00:00,2025-11-16T14:30:58.557274+00:00,130,t.me/Crypto_World_Signalss
20051,22018,🔊JUST IN: 🇺🇸 Michael Saylor says STRATEGY is buying bitcoin 🔥🔥,a4d81a90a4e6433db91fe4000e86f17c,2025-11-14T14:28:45+00:00,2025-11-16T14:30:58.486640+00:00,130,t.me/Crypto_World_Signalss
20053,22017,"BUY #BTC 97000-94000

TARGET:- 100000-105000-110000-115000-120000

SL:- 89000

LEV:- 10X",51d6ccd4c1a4d583382fb950afac6863,2025-11-14T00:38:39+00:00,2025-11-16T14:30:58.545215+00:00,130,t.me/Crypto_World_Signalss
20054,22016,"JUST IN: Michael Saylor says Bitcoin will surpass ... a larger asset class than gold by the year 2035.""",13a098c500c712a2e5e8bc278f8fad09,2025-11-13T15:19:59+00:00,2025-11-16T14:30:58.553287+00:00,130,t.me/Crypto_World_Signalss
22195,22027,"JUST IN: Gemini co-founder Cameron Winklevoss says...you'll ever be able to buy Bitcoin below $90,000.""",c88f2ee89488b3096a0ead5605970820,2025-11-18T13:05:49+00:00,2025-11-18T15:11:24.923871+00:00,130,t.me/Crypto_World_Signalss
23952,22030,"🚦 REMINDER: 🚦

FED UNEMPLOYMENT DATA DROPS TODAY A...w 4.3% → pump
At 4.3% → sideways
Above 4.3% → dump",fa69b4c2a7b97623d64a6fde3e6e664a,2025-11-20T14:17:22+00:00,2025-11-20T15:44:01.497265+00:00,130,t.me/Crypto_World_Signalss
