id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
29983,10942,"আলহামদুলিল্লাহ VIP সিগনাল থেকে 3100% প্রফিট। 🤑

admin @Devidchr",021576298ffd79380e5c8de24b5c024b,2025-11-22T10:37:25+00:00,2025-11-24T17:36:57.752744+00:00,214,t.me/Cryptonewstoday24
29994,10941,"#BEAT/USDT Trade update ⚠️

hold without stop loss...বো। ✔️

market e অস্থিতিশীলতার কারনে এমন অবস্থা। 😔",1669496f17ba51110cef77d0b772d52b,2025-11-21T10:47:52+00:00,2025-11-24T17:36:58.263353+00:00,214,t.me/Cryptonewstoday24
29988,10939,"on the way 📉

যারা #PIEVERSE/USDT hold এ আছেন তারা hold থাকুন ওটা থেকেও বিগ প্রফিট আসবে। ⚠️",ea6b2f5c3ac79783e5287eab4df9ade1,2025-11-21T06:00:13+00:00,2025-11-24T17:36:57.888876+00:00,214,t.me/Cryptonewstoday24
32321,10952,"Alhamdulillah 🔥

free signal almost target 1 done ✔️",43103522baa66b55f33297efa862b1a0,2025-11-25T14:09:23+00:00,2025-11-25T17:58:55.103765+00:00,214,t.me/Cryptonewstoday24
32332,10951,Boom🔥,6ecd798b940e3c5d4688f1021c318969,2025-11-25T10:45:55+00:00,2025-11-25T17:58:55.248093+00:00,214,t.me/Cryptonewstoday24
32325,10950,সিগনালটা ধাপে ধাপে এন্ট্রি নিবেন।  market এ movement নাই।  so ভাগ ভাগ করে নিন।✔️,9d27683d844ccfa04d863dc7f246177b,2025-11-25T09:28:26+00:00,2025-11-25T17:58:55.136447+00:00,214,t.me/Cryptonewstoday24
32328,10949,"💰#YALA/USDT 

🔽 SHORT

✳️ENTRY - 0.04700 - 0.05100...oss 50x

🔴 STOPLOSS - 0.06300

Sure shot signal ⚠️",618c7cbfae4b49ab616a73c64cb5b774,2025-11-25T09:27:22+00:00,2025-11-25T17:58:55.205835+00:00,214,t.me/Cryptonewstoday24
32326,10948,boom🔥,affc01f3a8ce7b16077d4a7edef0ff56,2025-11-24T19:02:27+00:00,2025-11-25T17:58:55.183557+00:00,214,t.me/Cryptonewstoday24
32331,10947,"এই সিগনাল দিয়ে টুকটাক প্রফিট করতে থাকুন ।✔️

mark...ালো পর্যায় আসলে ইনশাল্লাহ বিশাল কোপ দেওয়ায় দিমু।✅",3b6169621181bc5529eeb6a7dc8af73a,2025-11-24T18:32:39+00:00,2025-11-25T17:58:55.245863+00:00,214,t.me/Cryptonewstoday24
32334,10946,"💰#ALLO/USDT     (swing Trade )

🔼 LONG

✳️ENTRY - ...ব্যবহার করে  লস খাইলে কর্তৃপক্ষ দায়ী থাকবে না। ⚠️",ca2fe98775c49488916b26cf4cbee434,2025-11-24T18:31:22+00:00,2025-11-25T17:58:55.393496+00:00,214,t.me/Cryptonewstoday24
32335,10945,"#BEAT/USDT trade update ⚠️

এটি 100% প্রফিট টু এন্...াসে close করে দিন। নতুন সিগনাল দিবো ইনশাআল্লাহ ।✔️",21ab7c93185b916861a6ac0db862ce2b,2025-11-24T18:21:50+00:00,2025-11-25T17:58:55.501814+00:00,214,t.me/Cryptonewstoday24
