id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
22166,44291,"📊ESTR SCALP Signal Alert 📊

💎PAIR: XVG/USDT
🟢DIREC...r trade

━━━━━━━━━━━━━━━
📌Published by @ESTR_ADMIN",891aafdbafaa043f0ba100f5bfc76281,2025-11-17T17:40:14+00:00,2025-11-17T17:53:19.375380+00:00,103,t.me/ESTROFFICIAL
22165,44290,"Ready members? 

A quick Trade is ready.

Drop some reacts.",cd14a349856fe0754c48ecd1b1a8aa0b,2025-11-17T17:31:30+00:00,2025-11-17T17:53:19.367360+00:00,103,t.me/ESTROFFICIAL
21307,44288,"PREMIUM Group Signals 🌹 Free !!

Join here👇

(limm...st 20 users only):

https://t.me/+_mpRJTkpP5hlMTFl",98972c53e77a305e8fe2f483529c059b,2025-11-17T15:50:34+00:00,2025-11-17T16:29:14.855974+00:00,103,t.me/ESTROFFICIAL
21328,44276,"#XVG/USDT take-profit target achieved 😎🔥

Profit: ...: 38 Minutes ⏰
Fast, clean, and perfectly executed",03b8c45191291407ee7ed42a145917eb,2025-11-17T03:09:09+00:00,2025-11-17T16:29:15.298629+00:00,103,t.me/ESTROFFICIAL
21312,44273,"📊ESTR SCALP Signal Alert 📊

💎PAIR: STRK/USDT
🟢DIRE...r trade

━━━━━━━━━━━━━━━
📌Published by @ESTR_ADMIN",b55677bbface1303b94a37179aa6f63f,2025-11-17T02:30:17+00:00,2025-11-17T16:29:15.139684+00:00,103,t.me/ESTROFFICIAL
21317,44272,"📊ESTR SCALP Signal Alert 📊

💎PAIR: XVG/USDT
🟢DIREC...r trade

━━━━━━━━━━━━━━━
📌Published by @ESTR_ADMIN",17e6c15508b71045fe3847d909a5697c,2025-11-17T02:28:09+00:00,2025-11-17T16:29:15.231782+00:00,103,t.me/ESTROFFICIAL
21298,44270,"$LIGHT hit stoploss ❌
But now i got my rhythm back...nd of the day you takeaway some decent bucks home.",05423a0afc51131574be46e17ea924b8,2025-11-17T02:22:25+00:00,2025-11-17T16:29:14.775996+00:00,103,t.me/ESTROFFICIAL
21310,44268,"📊ESTR SCALP Signal Alert 📊

💎PAIR: LIGHT/USDT
🟢DIR...r trade

━━━━━━━━━━━━━━━
📌Published by @ESTR_ADMIN",ff1bd7e70d24c8d461b33ee1ad3b4e8c,2025-11-17T01:37:47+00:00,2025-11-17T16:29:14.970830+00:00,103,t.me/ESTROFFICIAL
21302,44267,"Good Morning.

Ready for trade? 

Yesterday both t...dropping very less trades with confirmations only.",977924005c44c8f2e470e3da65d6aaca,2025-11-17T01:33:40+00:00,2025-11-17T16:29:14.807331+00:00,103,t.me/ESTROFFICIAL
20194,44262,"📣🎁‼️VIP Today Free‼️🎁📣

🚨🚨Offer Valid for 30 members🚨🚨

https://t.me/+iPkjEO_7HAEwNDJk",c75b52348f3a14b2d244e30b75fdeb40,2025-11-16T14:08:32+00:00,2025-11-16T14:31:57.241437+00:00,103,t.me/ESTROFFICIAL
20176,44260,"#STRK/USDT take-profit target achieved 😎🔥

Profit:...
Momentum fully back — profits stacking nonstop 🚀💰",af353f7f844a19f93702fa9c3f747792,2025-11-16T12:54:44+00:00,2025-11-16T14:31:57.095383+00:00,103,t.me/ESTROFFICIAL
20183,44254,"#ZEN/USDT take-profit target achieved 😎🔥

Profit: ...rfectly executed —
Another solid win locked in! 🚀💰",73885a67f418b3379f069cdcf3b642c1,2025-11-16T10:18:51+00:00,2025-11-16T14:31:57.172573+00:00,103,t.me/ESTROFFICIAL
20191,44253,"📊ESTR SCALP Signal Alert 📊

💎PAIR: STRK/USDT
🟢DIRE...r trade

━━━━━━━━━━━━━━━
📌Published by @ESTR_ADMIN",437a58c2bc73e2eda5f1f18a032c660f,2025-11-16T10:10:19+00:00,2025-11-16T14:31:57.220861+00:00,103,t.me/ESTROFFICIAL
22330,44328,"📊 FUTURES (BINANCE) 

#SANDUSDT

🟢 ENTRY :-

👇TAKE PROFIT 👇

https://t.me/+q2FkY8q5nk9hMzc8",2fe508b82eadad2b1fb38f67fe5b3c0e,2025-11-18T14:55:34+00:00,2025-11-18T15:11:40.329195+00:00,103,t.me/ESTROFFICIAL
22315,44327,Next call here👇,6e0524eb1393ac443721023db9832428,2025-11-18T14:11:54+00:00,2025-11-18T15:11:39.955987+00:00,103,t.me/ESTROFFICIAL
22319,44326,Vip free [ CLICK HERE & JOIN ],c94e1eb01eea12ad67ce5680d1d20597,2025-11-18T13:34:04+00:00,2025-11-18T15:11:40.037667+00:00,103,t.me/ESTROFFICIAL
22327,44324,"#ASTER/USDT TAKE-PROFIT TARGET DESTROYED! 😎🔥🤜

Pro...xecution — another clean W added to the streak! 🚀💰",7064dfa5fab4e71ccf31c07447547979,2025-11-18T11:55:04+00:00,2025-11-18T15:11:40.141045+00:00,103,t.me/ESTROFFICIAL
22321,44323,"$ASTER target Update 0.13550

Make sure you close full trade here.",21d7fc9301885b3f09a02ec095ccdfa7,2025-11-18T11:52:42+00:00,2025-11-18T15:11:40.102461+00:00,103,t.me/ESTROFFICIAL
22323,44318,"📊ESTR SCALP Signal Alert 📊

💎PAIR: USELESS/USDT
🟢D...r trade

━━━━━━━━━━━━━━━
📌Published by @ESTR_ADMIN",ed0ecc2ef5be764fe319b2f3b6ef344e,2025-11-18T09:56:13+00:00,2025-11-18T15:11:40.120028+00:00,103,t.me/ESTROFFICIAL
22322,44316,"📊ESTR SCALP Signal Alert 📊

💎PAIR: LIGHT/USDT
🟢DIR...r trade

━━━━━━━━━━━━━━━
📌Published by @ESTR_ADMIN",de95c64c31cffde75be2157caf490b18,2025-11-18T09:25:33+00:00,2025-11-18T15:11:40.106289+00:00,103,t.me/ESTROFFICIAL
22324,44315,"#PEPE 🐸🐸 LONG 🎤🎤

https://t.me/+_DHU0r1RM981NmE1

🔝🔝🔝🔝 JOIN FAST 🔝🔝🔝",9c22fb834d983b4a939b5c225e650ade,2025-11-18T09:17:10+00:00,2025-11-18T15:11:40.116484+00:00,103,t.me/ESTROFFICIAL
22336,44314,"#4/USDT TAKE-PROFIT TARGET SMASHED! 😎🔥🤜

🚀Profit: ...de activated! 💰🔥.
We keep COMING BACK STRONGER! 🚀📈",f0a43432035fe5da6e85bf11c5266385,2025-11-18T09:08:19+00:00,2025-11-18T15:11:40.402892+00:00,103,t.me/ESTROFFICIAL
22334,44313,"#4USDT Target update 0.04745

Make sure you Book your Full profit.",7c9596d4787bd966babec79051dc7709,2025-11-18T09:00:57+00:00,2025-11-18T15:11:40.369919+00:00,103,t.me/ESTROFFICIAL
22333,44312,"💶Join Now and get guaranteed 300%+ profits daily 💵...rry and Join now 👇

https://t.me/+_DHU0r1RM981NmE1",a23c6fc282d6c33fde432285afae01b2,2025-11-18T08:59:01+00:00,2025-11-18T15:11:40.368043+00:00,103,t.me/ESTROFFICIAL
22367,44311,"📊ESTR SCALP Signal Alert 📊

💎PAIR: STRK/USDT
🟢DIRE...r trade

━━━━━━━━━━━━━━━
📌Published by @ESTR_ADMIN",40e8496b9a5f4c1de787b4fc52a58093,2025-11-18T08:54:10+00:00,2025-11-18T15:11:40.871673+00:00,103,t.me/ESTROFFICIAL
22338,44310,"$BTC already Bottom out.

There will be no more ex...hed and we can expect an upward rally in $BTC now.",f3bce9efcc8534b5fc01ad8665e035fa,2025-11-18T08:47:21+00:00,2025-11-18T15:11:40.487163+00:00,103,t.me/ESTROFFICIAL
22343,44309,"📊ESTR SCALP Signal Alert 📊

💎PAIR: ASTER/USDT
🟢DIR...r trade

━━━━━━━━━━━━━━━
📌Published by @ESTR_ADMIN",9046a7fd53ebf191aeba5a38e2acc356,2025-11-18T08:43:53+00:00,2025-11-18T15:11:40.599257+00:00,103,t.me/ESTROFFICIAL
22335,44308,Ready?,9f0de62738120076abeedd636a7629f7,2025-11-18T08:41:33+00:00,2025-11-18T15:11:40.399627+00:00,103,t.me/ESTROFFICIAL
22355,44307,"#CROSS/USDT TAKE-PROFIT TARGET DESTROYED! 😎🔥🤜

🚀Pr...ed before you could blink! 👀💸

Streak ON. Hype ON.",cdda0351fcbbae93f78fd21e183530e8,2025-11-18T08:37:54+00:00,2025-11-18T15:11:40.752157+00:00,103,t.me/ESTROFFICIAL
22337,44306,"📊ESTR SCALP Signal Alert 📊

💎PAIR: CROSS/USDT
🟢DIR...r trade

━━━━━━━━━━━━━━━
📌Published by @ESTR_ADMIN",bcb14ca534624ad7951374866e91c2c7,2025-11-18T08:31:14+00:00,2025-11-18T15:11:40.477701+00:00,103,t.me/ESTROFFICIAL
22331,44305,"📊ESTR SCALP Signal Alert 📊

💎PAIR: 4/USDT
🟢DIRECTI...r trade

━━━━━━━━━━━━━━━
📌Published by @ESTR_ADMIN",b5279566b80231350d1eaad370d9d020,2025-11-18T08:29:08+00:00,2025-11-18T15:11:40.340354+00:00,103,t.me/ESTROFFICIAL
22332,44299,"Good Morning.🌤

InshaALLAH today will be a decent profitable day.",1b83634a8534ebcf4d32ce00b6a52846,2025-11-18T05:40:56+00:00,2025-11-18T15:11:40.360003+00:00,103,t.me/ESTROFFICIAL
22329,44293,$XVG up +130% and down toward Stoploss.,dbde437b17bd90aaa85b308676cc64db,2025-11-18T00:47:47+00:00,2025-11-18T15:11:40.297427+00:00,103,t.me/ESTROFFICIAL
23267,44355,"📊#AR/USDT

🎗Signal Type: 
🌈Leverage: 

🔰 Entry Targets :🌷👇

https://t.me/+q0jnjfy4sW5kZTU1",7379bafa09bbfc77b2b99f9d78fe1df2,2025-11-19T14:51:20+00:00,2025-11-19T15:41:20.847442+00:00,103,t.me/ESTROFFICIAL
23279,44354,Next call here👇,6e0524eb1393ac443721023db9832428,2025-11-19T14:20:08+00:00,2025-11-19T15:41:21.008220+00:00,103,t.me/ESTROFFICIAL
23240,44353,"WE DON'T NEED YOUR MONEY
JUST JOIN THE CHANNEL 

G.../+q0jnjfy4sW5kZTU1

https://t.me/+q0jnjfy4sW5kZTU1",889dbcc3474712ccf148fe4c9a36afc7,2025-11-19T13:10:08+00:00,2025-11-19T15:41:20.526014+00:00,103,t.me/ESTROFFICIAL
23307,44351,"📊ESTR SCALP Signal Alert 📊

💎PAIR: ZEN/USDT
🟢DIREC...r trade

━━━━━━━━━━━━━━━
📌Published by @ESTR_ADMIN",0776528ba3c0026eec1e88f5813a0320,2025-11-19T12:58:08+00:00,2025-11-19T15:41:21.181647+00:00,103,t.me/ESTROFFICIAL
23293,44349,"🚨STOP BUYING SIGNALS🚨

We accept 60 more people FO... HERE FAST...👇

👉PREMIUM LINK 1🔐

👉PREMIUM LINK 2🔐",5bec7304a4751c82601b1c879187d9ff,2025-11-19T11:55:49+00:00,2025-11-19T15:41:21.113585+00:00,103,t.me/ESTROFFICIAL
23248,44347,"#STRK/USDT TAKE-PROFIT TARGET DESTROYED! 😎🔥🤜

Prof...y → explosive breakout → pure profit domination 🚀💰",21fffe3049a0a71895ea62a817855fe4,2025-11-19T10:45:43+00:00,2025-11-19T15:41:20.687271+00:00,103,t.me/ESTROFFICIAL
23251,44345,"#ZEN/USDT TAKE-PROFIT TARGET CRUSHED! 😎🔥🤜

Profit:...ther heavy hitter added to the comeback streak! 🚀💰",3fdb41530f37e462a1e132d777861177,2025-11-19T10:20:38+00:00,2025-11-19T15:41:20.685334+00:00,103,t.me/ESTROFFICIAL
23260,44344,"$MYX hit Stoploss -86% 

Holding $STRK and $ZEN",3aed6dd6b0af7418ebcbcdcd2fc06297,2025-11-19T09:02:07+00:00,2025-11-19T15:41:20.784859+00:00,103,t.me/ESTROFFICIAL
23266,44343,"📊ESTR SCALP Signal Alert 📊

💎PAIR: ZEN/USDT
🟢DIREC...r trade

━━━━━━━━━━━━━━━
📌Published by @ESTR_ADMIN",0776528ba3c0026eec1e88f5813a0320,2025-11-19T08:53:48+00:00,2025-11-19T15:41:20.848756+00:00,103,t.me/ESTROFFICIAL
23250,44342,"📊ESTR SCALP Signal Alert 📊

💎PAIR: MYX/USDT
🟢DIREC...r trade

━━━━━━━━━━━━━━━
📌Published by @ESTR_ADMIN",550c2ca3d94b5910f700aa7fd82ff870,2025-11-19T08:50:24+00:00,2025-11-19T15:41:20.684342+00:00,103,t.me/ESTROFFICIAL
23265,44339,"📊ESTR SCALP Signal Alert 📊

💎PAIR: STRK/USDT
🟢DIRE...r trade

━━━━━━━━━━━━━━━
📌Published by @ESTR_ADMIN",8793161a84bb82ef009dda2cf18305a6,2025-11-19T07:08:01+00:00,2025-11-19T15:41:20.843271+00:00,103,t.me/ESTROFFICIAL
23281,44336,$ZEN set target at entry. 14.03,a049a04a10e6f9b6b543fecad6a43268,2025-11-19T06:47:13+00:00,2025-11-19T15:41:21.016539+00:00,103,t.me/ESTROFFICIAL
