id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
28326,12614,"#INJ/USDT - LONG

Entry : 5.424

Targets  :
5.480
... : 5.184

Leverage : 25x Cross

#DYOR
#MANAGE_RISK",11905967f49cadd6fcf849a1ca2332e8,2025-11-23T12:32:17+00:00,2025-11-23T17:22:05.992712+00:00,183,t.me/InsiderCryptoLeak
28323,12613,"In the daily chart, #BTC is retesting the $85.6K z...t is successful, #BTC will drop to the $75K range.",a2cd6a7f6b3c436f92f3d3a66e34803f,2025-11-23T07:28:59+00:00,2025-11-23T17:22:05.772613+00:00,183,t.me/InsiderCryptoLeak
28324,12612,"This Month Booking Start 🔥

Monthly    : $50
3mont...essing FEE from Binance

Contact now @CEOInsiderCL",7ab6210aca6839bed6e9b6c84cd7dd66,2025-11-22T20:36:36+00:00,2025-11-23T17:22:05.864502+00:00,183,t.me/InsiderCryptoLeak
28321,12611,"#WLD/USDT - SHORT

Entry : 0.5962

Targets :
0.590...: 0.6241

Leverage : 25x Cross

#DYOR
#MANAGE_RISK",4b8b0e349af655f2de089110f23147b1,2025-11-22T12:42:01+00:00,2025-11-23T17:22:05.747383+00:00,183,t.me/InsiderCryptoLeak
28322,12610,"What should be your strategy now? (Survival Guide)...ong in the moment! Act with strategy, not emotion.",7925ee0540936454427a465d7e6f72c7,2025-11-21T20:24:56+00:00,2025-11-23T17:22:05.764680+00:00,183,t.me/InsiderCryptoLeak
30225,12625,"#free_signal

#INJ/USDT - LONG ⬆️

TP 1️⃣2️⃣3️⃣4️⃣... you will receive up to $500 / $2500 trading bonus",2b96d6030b1898ad2b35734cc94ea818,2025-11-24T15:03:39+00:00,2025-11-24T17:37:13.843680+00:00,183,t.me/InsiderCryptoLeak
30220,12624,"#free_signal

#INJ/USDT - LONG ⬆️

TP 1️⃣2️⃣3️⃣ Do... you will receive up to $500 / $2500 trading bonus",90bcea1c2a561e9677492d6d01366ee0,2025-11-24T14:39:22+00:00,2025-11-24T17:37:13.620098+00:00,183,t.me/InsiderCryptoLeak
30227,12623,"#free_signal

#NEAR/USDT - LONG ⬆️

TP 1️⃣2️⃣3️⃣4️... you will receive up to $500 / $2500 trading bonus",92ffd7308480a70bf39dad6f42776454,2025-11-24T14:38:27+00:00,2025-11-24T17:37:14.020002+00:00,183,t.me/InsiderCryptoLeak
30221,12622,"#free_signal

#NEAR/USDT - LONG ⬆️

TP 1️⃣2️⃣3️⃣4️... you will receive up to $500 / $2500 trading bonus",13988e6a9be51e588cf4c72ab0220e6c,2025-11-24T14:38:05+00:00,2025-11-24T17:37:13.637207+00:00,183,t.me/InsiderCryptoLeak
30223,12621,"#free_signal

#NEAR/USDT - LONG ⬆️

TP 1️⃣2️⃣3️⃣ D... you will receive up to $500 / $2500 trading bonus",60342bbc5c16d3787ebd9b6148205bb6,2025-11-24T14:37:41+00:00,2025-11-24T17:37:13.704627+00:00,183,t.me/InsiderCryptoLeak
30226,12620,"#free_signal

#NEAR/USDT - LONG ⬆️

TP 1️⃣2️⃣ Done... you will receive up to $500 / $2500 trading bonus",1581bf247b774fe2c18e497698f2c231,2025-11-24T14:36:57+00:00,2025-11-24T17:37:13.967084+00:00,183,t.me/InsiderCryptoLeak
30229,12619,"#free_signal

#NEAR/USDT - LONG ⬆️

TP 1️⃣ Done ✅
... you will receive up to $500 / $2500 trading bonus",5a0b6a64f0512a912d55b27290367cdf,2025-11-24T11:58:36+00:00,2025-11-24T17:37:14.371132+00:00,183,t.me/InsiderCryptoLeak
30228,12617,"#NEAR/USDT - LONG

Entry : 1.8380 - 1.8104

Target...: 1.7747

Leverage : 25x Cross

#DYOR
#MANAGE_RISK",721eacc90a3d5afd6cdcb75b83c519e3,2025-11-24T10:19:38+00:00,2025-11-24T17:37:14.360136+00:00,183,t.me/InsiderCryptoLeak
30231,12616,"#free_signal

#INJ/USDT - LONG ⬆️

TP 1️⃣2️⃣ Done ... you will receive up to $500 / $2500 trading bonus",44521b955587fe2a93b7f3967e0cd86c,2025-11-24T05:33:54+00:00,2025-11-24T17:37:14.457049+00:00,183,t.me/InsiderCryptoLeak
