id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
28215,10508,Ready For Recovery Signal?,9993238fcf79a5dc2857d32cd1e6829b,2025-11-23T07:30:01+00:00,2025-11-23T17:21:59.084598+00:00,200,t.me/Official_Bitcoin_vault
28242,10507,"#FREE_SIGNAL_ALERT 

📈 LONG #MAV/USDT 

LEVERAGE =...S = 0.03250

✔️ JOIN VIP NOW ➤ @Loukmane_Admin 🐦‍⬛",9ffda01803564c85f2075938676afbad,2025-11-23T07:09:23+00:00,2025-11-23T17:21:59.422486+00:00,200,t.me/Official_Bitcoin_vault
28219,10502,"TP Missed - Set Target At Entry 

Ready For New Signals",5c470a76d818cbb45370e52203b1217e,2025-11-23T04:48:43+00:00,2025-11-23T17:21:59.190332+00:00,200,t.me/Official_Bitcoin_vault
28235,10501,"#FREE_SIGNAL_ALERT 

📈 LONG #BLUAI/USDT 

LEVERAGE...S = 0.00800

✔️ JOIN VIP NOW ➤ @Loukmane_Admin 🐦‍⬛",b55859a727f0a33a3b5b5817105cd1e4,2025-11-22T16:36:26+00:00,2025-11-23T17:21:59.371665+00:00,200,t.me/Official_Bitcoin_vault
28236,10499,#0G Entry Missed Cancel Now,434d1842f718146f2984328f2f16efe9,2025-11-22T16:29:12+00:00,2025-11-23T17:21:59.383660+00:00,200,t.me/Official_Bitcoin_vault
30066,10510,Last,d55b30607c2a9a2616347d6edb789f6b,2025-11-24T13:37:05+00:00,2025-11-24T17:37:02.223999+00:00,200,t.me/Official_Bitcoin_vault
32507,10520,"#FREE_SIGNAL_ALERT

👌 FREE SCALPING CONTINUE 

📈 #...7 Minutes ⏰

✔️ JOIN VIP NOW ➤ @Loukmane_Admin 🐦‍⬛",c343b71e348df7853c5c0c6541cf106b,2025-11-25T09:26:41+00:00,2025-11-25T17:59:13.180772+00:00,200,t.me/Official_Bitcoin_vault
32515,10519,#ARC REACTIONS? ⚡️,5d132edecc43aafd0dc01bd13b631975,2025-11-25T08:22:12+00:00,2025-11-25T17:59:13.587184+00:00,200,t.me/Official_Bitcoin_vault
32505,10518,"#FREE_SIGNAL_ALERT 

📈 LONG #ARC/USDT 

LEVERAGE =...S = 0.04100

✔️ JOIN VIP NOW ➤ @Loukmane_Admin 🐦‍⬛",e36a93ce0dac52bb91c1d404d99671b6,2025-11-25T08:21:54+00:00,2025-11-25T17:59:13.166882+00:00,200,t.me/Official_Bitcoin_vault
32522,10516,"Ready? 

Show Reactions Fast",892e9541f3c56f9c7146e80fb25d5357,2025-11-25T08:12:47+00:00,2025-11-25T17:59:13.641241+00:00,200,t.me/Official_Bitcoin_vault
32511,10515,"#FREE_SIGNAL_ALERT

👌 FREE SCALPING CONTINUE 

📈 #...0 Minutes ⏰

✔️ JOIN VIP NOW ➤ @Loukmane_Admin 🐦‍⬛",78d575665e642cc9b3c90565da62a9e3,2025-11-25T06:06:22+00:00,2025-11-25T17:59:13.543124+00:00,200,t.me/Official_Bitcoin_vault
32506,10514,#1000RATS TP 1 CHANGE 0.05050 NOW ☄️,a193ed5e5fbe88ac299441df0b1c1e35,2025-11-25T06:04:45+00:00,2025-11-25T17:59:13.172341+00:00,200,t.me/Official_Bitcoin_vault
32510,10513,"#FREE_SIGNAL_ALERT 

📈 LONG #1000RATS/USDT 

LEVER...S = 0.04700

✔️ JOIN VIP NOW ➤ @Loukmane_Admin 🐦‍⬛",27a149a5be8743025b23b221c554132c,2025-11-25T05:45:41+00:00,2025-11-25T17:59:13.540741+00:00,200,t.me/Official_Bitcoin_vault
32504,10512,"#FREE_SIGNAL_ALERT 

📈 LONG #NAORIS/USDT 

LEVERAG...S = 0.02650

✔️ JOIN VIP NOW ➤ @Loukmane_Admin 🐦‍⬛",1102d88afba92d0ebeeb5d1c1215678a,2025-11-25T05:32:32+00:00,2025-11-25T17:59:13.161165+00:00,200,t.me/Official_Bitcoin_vault
37369,10525,"#FREE_SIGNAL_ALERT

📈 #AT FREE SCALPING CONTINUE 👌...ALHAMDULILAH!

✔️ JOIN VIP NOW @Loukmane_Admin 🐦‍⬛",088af87636610b284e98fbb1cfa098af,2025-11-27T16:05:48+00:00,2025-11-27T19:51:31.985862+00:00,200,t.me/Official_Bitcoin_vault
37406,10524,"#FREE_SIGNAL_ALERT

👌 FREE SCALPING CONTINUE 

📈 #...0 Minutes ⏰

✔️ JOIN VIP NOW ➤ @Loukmane_Admin 🐦‍⬛",ffde615869f520db78df182d2b6511e8,2025-11-27T16:01:34+00:00,2025-11-27T19:51:32.551427+00:00,200,t.me/Official_Bitcoin_vault
37387,10523,"#FREE_SIGNAL_ALERT 

📈 LONG #AT/USDT 

LEVERAGE = ...SS = 0.3130

✔️ JOIN VIP NOW ➤ @Loukmane_Admin 🐦‍⬛",abd281521a7e23bb3eafd7862bbc9caf,2025-11-27T15:11:59+00:00,2025-11-27T19:51:32.384914+00:00,200,t.me/Official_Bitcoin_vault
