id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
24709,6473,"Trade screenshot send here for risk management 
@Assistancepremium",a54292e593509ea358e04ec0b28c3a50,2025-11-21T14:21:14+00:00,2025-11-21T16:04:56.959777+00:00,168,t.me/TradeWithMind2
24725,6472,"XMR long here 
Target 100-500%",28eab10091191d26abc544dfa38a9ea2,2025-11-21T14:20:57+00:00,2025-11-21T16:04:57.388977+00:00,168,t.me/TradeWithMind2
24711,6471,76k best zone for Btc buying,8c2b06218a0d1d72f9823a74ed89b031,2025-11-21T14:18:51+00:00,2025-11-21T16:04:56.979569+00:00,168,t.me/TradeWithMind2
24713,6470,"If you are in loss in future trade 
Send trade scr...ox let's see for it's solution 
@Assistancepremium",a614bd4d0791e93542053c7e41688fdb,2025-11-21T10:49:16+00:00,2025-11-21T16:04:57.094620+00:00,168,t.me/TradeWithMind2
24719,6469,That's why I always tell you stay away from future trade nowadays,7646750f66715cd29d3eb5276facb60f,2025-11-21T10:48:34+00:00,2025-11-21T16:04:57.314640+00:00,168,t.me/TradeWithMind2
26889,6483,"Personally loss recovery setup ready 
Contact faaast 
@Assistancepremium",fe9cd111bbadfd8966e3d65effe21ac4,2025-11-22T15:14:45+00:00,2025-11-22T18:05:28.766640+00:00,168,t.me/TradeWithMind2
26899,6482,"Booooom Boooooom 
Free signal on fire 🔥",daf5934227b92c509ea8590c1d13f91d,2025-11-22T15:13:31+00:00,2025-11-22T18:05:29.213063+00:00,168,t.me/TradeWithMind2
26892,6481,XMR pumping hardly 👊,8610dcc7635bf79e1017cdae80642fcb,2025-11-22T15:12:21+00:00,2025-11-22T18:05:28.806435+00:00,168,t.me/TradeWithMind2
26887,6480,"Next free signal sooon 
Are you ready...",af6e96d481ceedd41ead77469382e373,2025-11-22T11:38:18+00:00,2025-11-22T18:05:28.728461+00:00,168,t.me/TradeWithMind2
26891,6479,Booooooooooooooom 🚀,72b758e4606bdba7c2bb2c1c1e203f3f,2025-11-22T09:46:24+00:00,2025-11-22T18:05:28.799228+00:00,168,t.me/TradeWithMind2
26896,6478,"BTC DOMINANCE 
Structure is bearesh",881213ac6bdc97b50cdfb48d06f200fe,2025-11-21T18:49:56+00:00,2025-11-22T18:05:29.139640+00:00,168,t.me/TradeWithMind2
26898,6477,"ETH 
Eth can dump to 2400 level before new ATH 
I will long from this area",25f8fe3ef9c250a3965e4e811559524a,2025-11-21T18:47:48+00:00,2025-11-22T18:05:29.194072+00:00,168,t.me/TradeWithMind2
26885,6476,"BTC 
Some days capitulation in range then we can see bounce up",d629f4e2bb64f4b1c48c73c9c054711a,2025-11-21T18:44:45+00:00,2025-11-22T18:05:28.724989+00:00,168,t.me/TradeWithMind2
28407,6488,"My prsnli clients 🔥 
Future prsnli trade 💸 
@Assistancepremium",c2596bfc0a82dbaafac1b6b0080f7d58,2025-11-23T15:35:42+00:00,2025-11-23T17:22:12.828660+00:00,168,t.me/TradeWithMind2
28408,6487,Nice pump 🚀,3715d2ca414f3015620818e9cc14e1ab,2025-11-23T13:58:35+00:00,2025-11-23T17:22:13.036346+00:00,168,t.me/TradeWithMind2
28409,6486,"XMR target hit 👊
Close it",6a06f0f16d2dcc2196ef8c50134bdc42,2025-11-23T13:57:40+00:00,2025-11-23T17:22:13.160587+00:00,168,t.me/TradeWithMind2
28410,6485,Ready for today...,b6fcf6a9ad7d5482415023f0b2df7fcd,2025-11-23T11:50:25+00:00,2025-11-23T17:22:13.199006+00:00,168,t.me/TradeWithMind2
