id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
28247,9040,#BTC BREAKS $86k,012d31c2a8888470c8649538abec4f3f,2025-11-23T04:18:01+00:00,2025-11-23T17:21:59.464607+00:00,204,t.me/TradeWith_Shah
28213,9039,This breakout is on short tf 5m.,9220025bad8bab4160e0002ab16b723c,2025-11-22T14:09:19+00:00,2025-11-23T17:21:59.066757+00:00,204,t.me/TradeWith_Shah
28217,9038,"#BTC Breaking out from this falling wedge pattern.
let's see this is fake or real breakout",7a9814f8360bb7e4a46dafda3af02f82,2025-11-22T14:02:40+00:00,2025-11-23T17:21:59.149444+00:00,204,t.me/TradeWith_Shah
28237,9037,"JUST IN: $1 trillion wiped out from the US stock m...00,000 wiped out from the crypto market cap today.",53b5e9956a4b90ce1778acce3985348f,2025-11-21T07:36:54+00:00,2025-11-23T17:21:59.392968+00:00,204,t.me/TradeWith_Shah
28224,9036,👀👀,305f8254e00e8ae54ae2a196dbe9f8d4,2025-11-21T07:35:25+00:00,2025-11-23T17:21:59.230838+00:00,204,t.me/TradeWith_Shah
29998,9045,DCBs On The Way,20f5246f1d183c202163764146ffc2f9,2025-11-24T15:42:35+00:00,2025-11-24T17:36:59.358965+00:00,204,t.me/TradeWith_Shah
30000,9044,... straight.,6bdcfcf4ca062bd7d2cc6dfd3562fe4d,2025-11-24T15:38:18+00:00,2025-11-24T17:36:59.402612+00:00,204,t.me/TradeWith_Shah
29996,9043,We are not going to 60k...,60713123b77d832cd38a2ddba90c3e5e,2025-11-24T15:37:19+00:00,2025-11-24T17:36:59.288844+00:00,204,t.me/TradeWith_Shah
29997,9042,"Invalidation breakout above 93150. 
Not wicks",fe85d123b14876bc2b8747cae220307f,2025-11-24T06:42:57+00:00,2025-11-24T17:36:59.350475+00:00,204,t.me/TradeWith_Shah
34824,9056,#ETH ON 🔥🔥🔥,95c9ff6f3a6d7083c15463312a5f1ed8,2025-11-26T12:20:31+00:00,2025-11-26T18:21:04.964124+00:00,204,t.me/TradeWith_Shah
34823,9055,#ETH SHORT SETUP,24c35631accae25d413d4b480f6a4c76,2025-11-26T10:22:18+00:00,2025-11-26T18:21:04.961001+00:00,204,t.me/TradeWith_Shah
34825,9054,"#BTC TP 6 HIT ✅

RR : 6 ✅",613a11cf23c3d3d93366a1372c42a4cc,2025-11-26T09:40:56+00:00,2025-11-26T18:21:04.996855+00:00,204,t.me/TradeWith_Shah
34827,9053,#BTC SHORT SETUP,a33e7424f5dcad90397e8551c78c0f23,2025-11-26T06:55:27+00:00,2025-11-26T18:21:05.118471+00:00,204,t.me/TradeWith_Shah
34826,9052,"#GOLD TP 2 HIT ✅

RR : 2 ✅",9de9736b8e5aa08741478fa3cf43a64b,2025-11-26T06:39:40+00:00,2025-11-26T18:21:05.116906+00:00,204,t.me/TradeWith_Shah
34829,9051,#GOLD ON 🔥🔥🔥,23d2ed2c12b1ed818bfd7af213d9a844,2025-11-26T06:17:38+00:00,2025-11-26T18:21:05.154356+00:00,204,t.me/TradeWith_Shah
34828,9050,"#GOLD TP1 HIT ✅

RR : 1 ✅",f4c698cba5210af6dc0a38fe0164366f,2025-11-26T06:16:04+00:00,2025-11-26T18:21:05.145475+00:00,204,t.me/TradeWith_Shah
34832,9049,This is my personal analysis for educational purpo...l Advisor. Do your own research before investing..,bb7666546a1dfa4e803ccc1b2151b117,2025-11-26T05:51:38+00:00,2025-11-26T18:21:05.257571+00:00,204,t.me/TradeWith_Shah
34830,9048,#GOLD SHORT SETUP,1d7038dc60fd0a1b4deb32e46e1636b2,2025-11-26T05:50:19+00:00,2025-11-26T18:21:05.163316+00:00,204,t.me/TradeWith_Shah
34831,9047,#SP500 LIMIT SHORT SETUP,180fb768831bbb328ff6245f13edd433,2025-11-26T05:45:33+00:00,2025-11-26T18:21:05.171900+00:00,204,t.me/TradeWith_Shah
