id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
28282,21186,"#BONK 38% Pump On 10X 🚀🚀🔥🔥 

#BONK 1st Target Done Hold For More Profits 💪💪💪🔥🔥",c8f83133b1e82beecd03f7d359cee1e3,2025-11-23T16:21:46+00:00,2025-11-23T17:21:59.985473+00:00,199,t.me/White_Bullss
28268,21185,🔊MICHAEL SAYLOR: I Won’t ₿ack Down.,c49aeb4576beb33e57e63fa64d514653,2025-11-23T15:00:18+00:00,2025-11-23T17:21:59.710261+00:00,199,t.me/White_Bullss
28276,21184,"📢$11 billion in short positions will be liquidated if $BTC climbs to $101,000.",5b8b8264663fe28182a118b17314b225,2025-11-23T14:02:16+00:00,2025-11-23T17:21:59.894419+00:00,199,t.me/White_Bullss
28266,21182,"🔊 Crypto Fear and Greed Index:

🧭 Index Value : 13... Sentiment : Extreme Fear 🛑
💰 $BTC Price : $86,100",1273510a9804b2a0c124a2f82b0d808c,2025-11-23T04:38:17+00:00,2025-11-23T17:21:59.641532+00:00,199,t.me/White_Bullss
32428,21192,"🏮BREAKING: BlackRock's Bitcoin ETF sold $2.2 BILLI...n November.

Biggest outflow by far since launch😱😱",208b4b23de0b63e4b67ab400e89fbc4c,2025-11-25T14:20:29+00:00,2025-11-25T17:59:08.935071+00:00,199,t.me/White_Bullss
32480,21191,"NEW SET-UP 

BUY #AIA/USDT 👆👆",0f6b450cd091a7d24458ac827da49a48,2025-11-25T09:05:01+00:00,2025-11-25T17:59:09.875688+00:00,199,t.me/White_Bullss
32425,21189,"BUY #INIT AT 0.1050-0.1000

Target:- 0.1150-0.1300...Low Fund with Small LEV and Do Scalping Trade only",d7f7266badde54c6553e36b96625490a,2025-11-25T03:18:40+00:00,2025-11-25T17:59:08.906463+00:00,199,t.me/White_Bullss
32468,21188,"4th Target Done...Congrats All Member 💪🍻🍻

LONG #B...
#Profits  83% On 5X 😍🔥🚀

Join VIP:- @Bullss_Admin",e8d5fc697bda5ad8985042115de76e7c,2025-11-25T01:41:47+00:00,2025-11-25T17:59:09.813322+00:00,199,t.me/White_Bullss
34920,21196,"WHALES GO AGGRESSIVELY LONG ON BITCOIN. 

While re...hort positioned. 

Smart money is leaning bullish.",c7d9f6cdca6e8b8aad31f04fc95c1411,2025-11-26T12:08:34+00:00,2025-11-26T18:21:09.661402+00:00,199,t.me/White_Bullss
34878,21195,#AIA Will Pump Soon 🚀🚀💪💪💪,c2df1fa374cbf574c05837ef4299bd30,2025-11-26T07:18:39+00:00,2025-11-26T18:21:08.995633+00:00,199,t.me/White_Bullss
34883,21194,"🔊 Crypto Fear and Greed Index:

🧭 Index Value : 15... Sentiment : Extreme Fear 🛑
💰 $BTC Price : $87,700",7332671f9b81cefcace793fa557f61f9,2025-11-26T04:44:02+00:00,2025-11-26T18:21:09.033406+00:00,199,t.me/White_Bullss
