id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
29911,2943,"💚💚💚💚💚💚💚💚💚💚💚💚

✅ ETH/USDT Take Profit 1 ✅

📊 Profit...ng it) in BYBIT, completing the first take profit!",576d3b1fb8e284f162f2c8d1090d27a5,2025-11-24T17:34:29+00:00,2025-11-24T17:36:46.920239+00:00,234,t.me/WolfxCrypto_VIP
29908,2942,"ETH/USDT 📈 BUY

🔹Enter above: 2866.05 (with a maxi...ed to follow our signals

📍Bybit, Binance, Bitget,",b8c7fe55b5e3e08106368a7e432fbc48,2025-11-24T16:45:31+00:00,2025-11-24T17:36:46.882865+00:00,234,t.me/WolfxCrypto_VIP
29890,2941,"❗️❗️❗️❗️❗️❗️❗️❗️

📆 17 NOVEMBER - 23 NOVEMBER

✅️M...rivate Mentorships: HERE

📌TRADING ACADEMY: HERE 🟢",64ff9ae7756815295a4d0e0f35da1b7a,2025-11-24T15:51:15+00:00,2025-11-24T17:36:46.611125+00:00,234,t.me/WolfxCrypto_VIP
32261,2954,"ETH/USDT 📈 BUY

🔹Enter above: 2925.84 (with a maxi...ed to follow our signals

📍Bybit, Binance, Bitget,",20dc0a9ebcdee25a6b3e0c3b2443c6f3,2025-11-25T16:27:13+00:00,2025-11-25T17:58:52.381498+00:00,234,t.me/WolfxCrypto_VIP
32265,2952,"🤖BOT FOR FUNDED ACC 🤖

✅Our  is giving crazy retur...
—————————————————-

🚫 BOT ONLY AVAILABLE FOR VIPS",9ead78d831e6645039ae01dcb4b5a4b7,2025-11-25T13:38:52+00:00,2025-11-25T17:58:52.520930+00:00,234,t.me/WolfxCrypto_VIP
32270,2945,"💚💚💚💚💚💚💚💚💚💚💚💚

✅✅ ETH/USDT TP2 ✅✅

📊 Profit Made: 7...ONUS ➝ HERE 🎁

⬆️ ❗️❗️❗️❗️❗️❗️❗️❗️ ⬆️

✉️FEEDBACK:",edd434f1347d030c20dfcbaa6ef555f7,2025-11-25T03:16:00+00:00,2025-11-25T17:58:52.594260+00:00,234,t.me/WolfxCrypto_VIP
34627,2961,"💚💚💚💚💚💚💚💚💚💚💚💚

✅ ETH/USDT Take Profit 1 ✅

📊 Profit...ng it) in BYBIT, completing the first take profit!",5a0804acdb78c39fa599ceacc39d31f9,2025-11-26T18:12:32+00:00,2025-11-26T18:20:51.635272+00:00,234,t.me/WolfxCrypto_VIP
34629,2960,"💚💚💚💚💚💚💚💚💚💚💚💚

✅✅ ETH/USDT TP2 ✅✅

📊 Profit Made: 9...ONUS ➝ HERE 🎁

⬆️ ❗️❗️❗️❗️❗️❗️❗️❗️ ⬆️

✉️FEEDBACK:",9355717307e6ab9bc888163dc02af1a8,2025-11-26T12:25:44+00:00,2025-11-26T18:20:51.639645+00:00,234,t.me/WolfxCrypto_VIP
34626,2959,"ETH/USDT

🔹Enter below: 2908.04(with a minimum val...red to follow our signals

📍Bybit, Binance, Bitget",4b7e3b8bbb85d8e03888e6389d15f901,2025-11-26T09:05:46+00:00,2025-11-26T18:20:51.508796+00:00,234,t.me/WolfxCrypto_VIP
36998,2966,"ETH/USDT 📈 BUY

🔹Enter above: 3020.19 (with a maxi...ed to follow our signals

📍Bybit, Binance, Bitget,",79291eb424831f1508158e4402bdb253,2025-11-27T15:50:34+00:00,2025-11-27T19:50:59.134807+00:00,234,t.me/WolfxCrypto_VIP
37009,2964,"SOL/USDT 📈 BUY

🔹Enter above: 143.99 (with a maxim...ed to follow our signals

📍Bybit, Binance, Bitget,",773a81d52b6ccbec9fdd7c32b479bd64,2025-11-27T06:43:00+00:00,2025-11-27T19:50:59.617225+00:00,234,t.me/WolfxCrypto_VIP
