id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
24669,37157,"Have you noticed something?

Good news → market du...t.

Stay calm. Stay patient. Protect your capital.",77b3f1510d9bd52628f3120c784c7e95,2025-11-21T09:17:08+00:00,2025-11-21T16:04:54.050199+00:00,175,t.me/cryptO0_g_e_e_k
24672,37156,"BTC USDT 
Guys as you know we are trading from pas...
i will share spot buying details soon stay tuned.",8160c941a1e2e292160e9e087a904d34,2025-11-21T07:39:18+00:00,2025-11-21T16:04:54.135262+00:00,175,t.me/cryptO0_g_e_e_k
24660,37155,"BTC USDT 
Btc got rejection from the zone that i m...et to get stable dont burn your hard earned money.",58a6b3f7123cb545212aa4d5c96ab534,2025-11-21T03:50:47+00:00,2025-11-21T16:04:53.967525+00:00,175,t.me/cryptO0_g_e_e_k
24667,37154,ATOM USDT,8dc56503ab7c4dafd3d6414e03ff7d24,2025-11-20T06:41:11+00:00,2025-11-21T16:04:54.035047+00:00,175,t.me/cryptO0_g_e_e_k
24670,37153,"BTC USDT 
Once again on 92k zone",1c08a41654c7711618a5ac2e17fbfec2,2025-11-20T03:56:32+00:00,2025-11-21T16:04:54.052904+00:00,175,t.me/cryptO0_g_e_e_k
26877,37160,"BNB USDT 
IF you are looking for spot buying, you can accumulate in parts.",c146b955d9e7459864799907ef290e4a,2025-11-22T06:08:21+00:00,2025-11-22T18:05:28.047999+00:00,175,t.me/cryptO0_g_e_e_k
26874,37159,BTC USDT,5b1df379cbac3b2b752cd55ff97eda3e,2025-11-22T03:12:43+00:00,2025-11-22T18:05:28.006796+00:00,175,t.me/cryptO0_g_e_e_k
28353,37163,"DOGE USDT 
Accumulate on spot",ea6f92003b19c6bfe3b0ad6f43168dc2,2025-11-23T06:38:01+00:00,2025-11-23T17:22:07.724218+00:00,175,t.me/cryptO0_g_e_e_k
28352,37162,XRP USDT,360d1c246c7fe662dc05323d531000dd,2025-11-23T06:32:25+00:00,2025-11-23T17:22:07.718309+00:00,175,t.me/cryptO0_g_e_e_k
30298,37167,SUI USDT,e0f237c025d93329d2f98f53fb10e45b,2025-11-24T05:40:55+00:00,2025-11-24T17:37:21.242008+00:00,175,t.me/cryptO0_g_e_e_k
30299,37166,ETH USDT,78d67b84003e57c020930175af3a9e1f,2025-11-24T05:40:02+00:00,2025-11-24T17:37:21.319061+00:00,175,t.me/cryptO0_g_e_e_k
30296,37165,"#1inch  USDT 

Long 🟢

Entry: Current price 

Stop...erage must not be Above 5x 
Margin should be Less.",89bcc340dae3a95ed85699d27796e616,2025-11-24T05:39:02+00:00,2025-11-24T17:37:21.226236+00:00,175,t.me/cryptO0_g_e_e_k
