id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
19224,121892,#BTC Bitwise: When the Crypto Fear & Greed Index d... fear consistently precedes above-average returns.,bc3f69ff8f27f49a288068446344b8a9,2025-11-15T09:54:26+00:00,2025-11-15T15:25:33.896580+00:00,92,t.me/crypto_freemium
18938,121889,"UNI Fee Switch Summary
100M UNI burned 

upfront →...th story .

https://www.tradingview.com/x/mzBnboZ9",f14d024bb1f323a79cfcb91b55fe1e2e,2025-11-14T16:33:44+00:00,2025-11-14T20:30:33.154861+00:00,92,t.me/crypto_freemium
18932,121888,"Wintermute released a report noting that the corre... not observed near peaks, but rather near bottoms.",d316a338688fcbb0d58cabf91c0a8635,2025-11-14T09:47:18+00:00,2025-11-14T20:30:33.004752+00:00,92,t.me/crypto_freemium
18935,121887,"Coin Name: BTCUSDT

Buy zone : Below $97350 

Stop... $107000
Take Profit 3: $116000

Max leverage: 10x",f3f5177f920fa534e0063a4753097ef7,2025-11-14T09:03:33+00:00,2025-11-14T20:30:33.093251+00:00,92,t.me/crypto_freemium
18939,121885,"Tradfi is dumping $BTC.

Thursday marked the 2nd l...ds of peak outflows took place near local bottoms.",749cd874d7a957036fd990a5eacf0168,2025-11-14T05:19:32+00:00,2025-11-14T20:30:33.311426+00:00,92,t.me/crypto_freemium
19224,121892,#BTC Bitwise: When the Crypto Fear & Greed Index d... fear consistently precedes above-average returns.,bc3f69ff8f27f49a288068446344b8a9,2025-11-15T09:54:26+00:00,2025-11-15T15:25:33.896580+00:00,92,t.me/crypto_freemium
18938,121889,"UNI Fee Switch Summary
100M UNI burned 

upfront →...th story .

https://www.tradingview.com/x/mzBnboZ9",f14d024bb1f323a79cfcb91b55fe1e2e,2025-11-14T16:33:44+00:00,2025-11-14T20:30:33.154861+00:00,92,t.me/crypto_freemium
18932,121888,"Wintermute released a report noting that the corre... not observed near peaks, but rather near bottoms.",d316a338688fcbb0d58cabf91c0a8635,2025-11-14T09:47:18+00:00,2025-11-14T20:30:33.004752+00:00,92,t.me/crypto_freemium
18935,121887,"Coin Name: BTCUSDT

Buy zone : Below $97350 

Stop... $107000
Take Profit 3: $116000

Max leverage: 10x",f3f5177f920fa534e0063a4753097ef7,2025-11-14T09:03:33+00:00,2025-11-14T20:30:33.093251+00:00,92,t.me/crypto_freemium
18939,121885,"Tradfi is dumping $BTC.

Thursday marked the 2nd l...ds of peak outflows took place near local bottoms.",749cd874d7a957036fd990a5eacf0168,2025-11-14T05:19:32+00:00,2025-11-14T20:30:33.311426+00:00,92,t.me/crypto_freemium
