id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
29933,23078,"What has been ""moving"" in the last 24 hours

Bybit...mmunity here.

CScalp | WebCScalp | Trader’s Diary",8f4388bcbe782830cb89f8a4e310dc23,2025-11-24T06:00:03+00:00,2025-11-24T17:36:48.580864+00:00,227,t.me/daytrader_signals_EN
29932,23076,"15m TF. For the instrument, after a prolonged peri... channel.

Open the chart | Trade | #TrendBreakout",397b9b7992fff86d7110835617bfd594,2025-11-22T17:21:19+00:00,2025-11-24T17:36:48.536016+00:00,227,t.me/daytrader_signals_EN
29935,23073,"4h TF. The asset is stabilizing around the 14.10 z...or en/ru.

Open the chart | Trade | #SlopePullback",e2631b34f4f808133029d23810d91a3b,2025-11-20T14:55:14+00:00,2025-11-24T17:36:48.653174+00:00,227,t.me/daytrader_signals_EN
29930,23071,"4h TF. The asset is trading in the key support zon... channel.

Open the chart | Trade | #SlopePullback",9cac080635caa2e5bed5431ed5a0b623,2025-11-19T17:38:03+00:00,2025-11-24T17:36:48.533053+00:00,227,t.me/daytrader_signals_EN
29929,23070,"1D TF. Pepe is in the Fibonacci zone of 141-161, w... channel.

Open the chart | Trade | #LevelPullback",db29bbfafffc123665569566d8b99484,2025-11-19T15:58:54+00:00,2025-11-24T17:36:48.527026+00:00,227,t.me/daytrader_signals_EN
32295,23080,"4h TF. The asset is moving downward, repeatedly to...rse here.

Open the chart | Trade | #SlopePullback",8928f84934cefa924985bf1b2effb253,2025-11-25T11:49:25+00:00,2025-11-25T17:58:53.337984+00:00,227,t.me/daytrader_signals_EN
34658,23084,"Tell us what your experience with CScalp has been ...ents 👇

Try the free CScalp trading terminal here.",a3ddba6839251a271310404dc9ab77e6,2025-11-26T15:06:20+00:00,2025-11-26T18:20:53.496247+00:00,227,t.me/daytrader_signals_EN
34657,23083,"15m TF. The instrument PIEVERSE is currently exper...rse here.

Open the chart | Trade | #TrendBreakout",e4453a543e430ab2e5076a1ecd67498e,2025-11-26T12:00:05+00:00,2025-11-26T18:20:53.340156+00:00,227,t.me/daytrader_signals_EN
34660,23082,"5m TF. MON is currently experiencing significant g... channel.

Open the chart | Trade | #TrendBreakout",1fbf0071eae0535cf5c427ae884a647f,2025-11-26T10:49:54+00:00,2025-11-26T18:20:53.993190+00:00,227,t.me/daytrader_signals_EN
37039,23088,"15m TF. Bitcoin has been forming an upward movemen...for free.

Open the chart | Trade | #SlopeBreakout",d5dd9ca576edb2ae051b90064e89e1a8,2025-11-27T17:46:53+00:00,2025-11-27T19:51:00.135614+00:00,227,t.me/daytrader_signals_EN
37025,23087,"15m TF. A level has formed on the TNSR instrument....ary here.

Open the chart | Trade | #TrendBreakout",17f45eb99c859cb3caa0e73fbda2b4f8,2025-11-27T12:47:57+00:00,2025-11-27T19:51:00.045224+00:00,227,t.me/daytrader_signals_EN
37031,23086,"5m TF. A level has formed on the BANANAS31 instrum...rse here.

Open the chart | Trade | #TrendBreakout",6651fb6aeb3a1afd5d3d6cd7923fbf94,2025-11-27T10:35:40+00:00,2025-11-27T19:51:00.113446+00:00,227,t.me/daytrader_signals_EN
38560,23090,"1h TF. BNB is currently in a local uptrend. The as... channel.

Open the chart | Trade | #LevelPullback",efeebc3e4bdc8fabb6f435323ee47fc1,2025-11-28T13:07:13+00:00,2025-11-28T20:27:16.194476+00:00,227,t.me/daytrader_signals_EN
