id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
125624,6803,CELOUSDT SWING LONG,2013c8866fb4c203439a6ea2b43a4cfb,2026-01-06T01:20:24+00:00,2026-01-07T00:30:40.694666+00:00,63,t.me/innercirclevipbyCF
125625,6802,"CELOUSDT LONGXRPUSDT LONG UPDATE - BREAK OF CHANNEL AND RETEST, LONG IT",3259e6f34e5319580857747f1f1e7788,2026-01-06T01:19:40+00:00,2026-01-07T00:30:40.699783+00:00,63,t.me/innercirclevipbyCF
125620,6801,"EGLDUSDT LONG

Coin : EGLDUSDT

Type : long

Lever...- 12
TARGET 7 - 13.3
TARGET 8 - 15.5

STOPLOSS - 5",96cf554a01853debf3e2b49300763e34,2026-01-06T01:02:16+00:00,2026-01-07T00:30:40.691800+00:00,63,t.me/innercirclevipbyCF
118330,6795,"HEMIUSDT LONG - WIDE SL, SO TAKE ACCORDINGLY,",6ec5cd0a8a733d0fa5fb890c5d3c7c7f,2026-01-03T06:37:02+00:00,2026-01-03T17:13:32.080058+00:00,63,t.me/innercirclevipbyCF
118344,6794,HEMIUSDT SPOT BUY HERE AT 0.0191- LOOKS LIKE ITS ABOUT TO EXPLODE,bcfb6cac313dc5e206cd6f52bc05b219,2026-01-03T06:34:47+00:00,2026-01-03T17:13:32.331931+00:00,63,t.me/innercirclevipbyCF
118342,6791,XRPUSDT - I WILL LOOK FOR LONGS ON THE PULLBACK AFTER THIS WEEKLY CLOSE,a62e03e3bd8cc7dbc5ed6971a743db60,2026-01-03T06:30:16+00:00,2026-01-03T17:13:32.312418+00:00,63,t.me/innercirclevipbyCF
118338,6789,FLOWUSDT SPOT BUY HERE AT 0.083,546332e8a251f90f9e7e6c1d7f671b52,2026-01-03T06:28:55+00:00,2026-01-03T17:13:32.273096+00:00,63,t.me/innercirclevipbyCF
139689,6811,TRBUSDT LIMIT LONG- WAIT FOR ENTRY,f5488669dfa0c2e45c0b12d1e8cd5a64,2026-01-14T01:25:25+00:00,2026-01-14T09:17:26.703858+00:00,63,t.me/innercirclevipbyCF
139693,6808,"FLOWUSDT LONG

Coin : FLOWUSDT

Type : long

Lever...TARGET 7 - 0.155
TARGET 8 - 0.167

STOPLOS - 0.075",ccf4a7d17b1f49f8f37da18ef4da8c2d,2026-01-14T00:53:53+00:00,2026-01-14T09:17:26.908916+00:00,63,t.me/innercirclevipbyCF
163281,6819,HOOKUSDT SWING LONG,14516761e486684be28cfc012e8ea59b,2026-01-25T01:22:31+00:00,2026-01-26T12:59:41.278720+00:00,63,t.me/innercirclevipbyCF
