id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
62355,12054,"⚡⚡ EIGEN/USDT ⚡⚡

Trade Type: Regular (Short)

Lev...2) 0.4940 
3) 0.4870 

Stop-loss Orders:
1) 0.5300",e64c03dc9adfa80e272b2a15e5670713,2025-12-08T09:43:30+00:00,2025-12-08T22:58:32.541369+00:00,154,t.me/k4kryptoo
62366,12051,"⚡⚡ LAB/USDT ⚡⚡

Trade Type: Regular (Short)

Lever...0.11500 
3) 0.10500 

Stop-loss Orders:
1) 0.14500",a1c91206c8a0051498465178844435e3,2025-12-08T09:12:06+00:00,2025-12-08T22:58:33.000794+00:00,154,t.me/k4kryptoo
62352,12050,"⚡⚡ BTC/USDT ⚡⚡

Trade Type: Regular (Short)

Lever... 
2) 90800 
3) 88800 

Stop-loss Orders:

1) 96800",7f9f6adc3229087bfee2bd0a03c30fc7,2025-12-08T09:12:04+00:00,2025-12-08T22:58:32.512759+00:00,154,t.me/k4kryptoo
62360,12049,"⚡⚡ ETH/USDT ⚡⚡

Trade Type: Regular (Short)
Levera...3110 
2) 3060 
3) 3000 

Stop-loss Orders:
1) 3240",9d4c5bbee17c135e400bb3df06874cca,2025-12-08T09:12:02+00:00,2025-12-08T22:58:32.562336+00:00,154,t.me/k4kryptoo
62353,12047,"⚡⚡ COMMON/USDT ⚡⚡

Trade Type: Regular (Long)

Lev...05650 
3) 0.005950 

Stop-loss Orders:
1) 0.004750",e60494c735f03b4d4a0b2086589d2d95,2025-12-08T08:55:48+00:00,2025-12-08T22:58:32.521561+00:00,154,t.me/k4kryptoo
62354,12044,"⚡⚡ NTRN/USDT ⚡⚡

Trade Type: Regular (Long)

Lever...0.03480 
3) 0.03680 

Stop-loss Orders:
1) 0.02970",b15c5910a336214df28d9c7bebfd5a98,2025-12-08T08:33:41+00:00,2025-12-08T22:58:32.522403+00:00,154,t.me/k4kryptoo
64397,12085,"⚡⚡ CC/USDT ⚡⚡

Trade Type: Regular (Short)

Levera...0.06680
3) 0.06080 

Stop-loss Orders:

1) 0.08080",6bea39c39e7d6b1d74b259675344496e,2025-12-09T08:41:42+00:00,2025-12-09T23:23:19.620719+00:00,154,t.me/k4kryptoo
76122,12124,"$ETH Long 🟢

Entry - 3110-3060

Target - 3160-3200-3300-3400

SL - 3000$ 

Lev - 10-20x",40da9c7d64f1427cea83fa9f282fa567,2025-12-13T16:04:16+00:00,2025-12-14T01:54:42.875612+00:00,154,t.me/k4kryptoo
81402,12145,"$BTC Short 🔴

Entry - 89800-90500

Target - 88800-88k-87000-86000

SL - 91000$ 

Lev - 10-20x",2865e8350e2196036bfbb312961ff6af,2025-12-15T10:14:31+00:00,2025-12-16T02:05:30.458699+00:00,154,t.me/k4kryptoo
84480,12158,"$BTC Swing Long 🟢

Entry - 86200-84000

Target - 88k-90k-93k-96k

SL - 83000$ 

Lev - 10-20x",950404eedd7f56eef18b4465e8a75b28,2025-12-16T10:28:01+00:00,2025-12-17T03:09:58.092550+00:00,154,t.me/k4kryptoo
94790,12173,"$BTC Short 🔴

Entry - 88100-89200

Target - 86500-85k-84k

SL - 90700$ 

Lev - 10-20x",02815c3ab5dc8d440f097c938447e83c,2025-12-21T07:24:47+00:00,2025-12-23T15:31:42.325330+00:00,154,t.me/k4kryptoo
