id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
19082,4912,"🐳 Santiment: ТОП-10 токенов по росту активности ки...Service #ENS
10. Usual USD #USD0

#ончейн #рейтинг",169e45d64d74b7ab7daae6c2395830fb,2025-10-14T20:41:51+00:00,2025-11-14T20:30:40.686736+00:00,62,t.me/monkeytraderclub
19083,4911,"💥 Криптокрах 11 октября: что произошло на самом де...ремя воспользоваться этой дырой....

#Binance #btc",b4fedb35bc548a7dac4d2f2e766a84b2,2025-10-12T16:45:55+00:00,2025-11-14T20:30:41.046108+00:00,62,t.me/monkeytraderclub
19087,4910,"Ps/ недалекая команда Трампа во главе с ним самим,....

Но те кто знают, те знают…)

@monkeytraderadmin",0d2695bbecac27ed47aa0b6ec5fb707e,2025-10-11T21:10:58+00:00,2025-11-14T20:30:41.326481+00:00,62,t.me/monkeytraderclub
19084,4909,"‼️ Переходим на торговлю топ 5/10 монет только BTC... пошел, например до 60/70к:)))

@monkeytraderadmin",c1e7a0fd4e9bc8b74ed8b3426589ad9b,2025-10-11T21:00:39+00:00,2025-11-14T20:30:41.056687+00:00,62,t.me/monkeytraderclub
19090,4908,"📌 Друзья, думаем что вы все еще в шоке после вчера... вчера это доказал, слив это в унитаз окончательно",1fd2aaa0d3d11aa4f39f6c6ed7830375,2025-10-11T21:00:35+00:00,2025-11-14T20:30:41.394139+00:00,62,t.me/monkeytraderclub
19082,4912,"🐳 Santiment: ТОП-10 токенов по росту активности ки...Service #ENS
10. Usual USD #USD0

#ончейн #рейтинг",169e45d64d74b7ab7daae6c2395830fb,2025-10-14T20:41:51+00:00,2025-11-14T20:30:40.686736+00:00,62,t.me/monkeytraderclub
19083,4911,"💥 Криптокрах 11 октября: что произошло на самом де...ремя воспользоваться этой дырой....

#Binance #btc",b4fedb35bc548a7dac4d2f2e766a84b2,2025-10-12T16:45:55+00:00,2025-11-14T20:30:41.046108+00:00,62,t.me/monkeytraderclub
19087,4910,"Ps/ недалекая команда Трампа во главе с ним самим,....

Но те кто знают, те знают…)

@monkeytraderadmin",0d2695bbecac27ed47aa0b6ec5fb707e,2025-10-11T21:10:58+00:00,2025-11-14T20:30:41.326481+00:00,62,t.me/monkeytraderclub
19084,4909,"‼️ Переходим на торговлю топ 5/10 монет только BTC... пошел, например до 60/70к:)))

@monkeytraderadmin",c1e7a0fd4e9bc8b74ed8b3426589ad9b,2025-10-11T21:00:39+00:00,2025-11-14T20:30:41.056687+00:00,62,t.me/monkeytraderclub
19090,4908,"📌 Друзья, думаем что вы все еще в шоке после вчера... вчера это доказал, слив это в унитаз окончательно",1fd2aaa0d3d11aa4f39f6c6ed7830375,2025-10-11T21:00:35+00:00,2025-11-14T20:30:41.394139+00:00,62,t.me/monkeytraderclub
