id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
50548,36177,"👍THE WOLF SCALPER👍

✔️COIN NAME: H(USDT)

LEVERAGE...OSS:  0.1185

#WE_STAND_WITH_PALESTINE

REACTIONS?",86c07a7781ee9a14d103507c4383e7c3,2025-12-03T08:13:59+00:00,2025-12-03T21:12:23.961075+00:00,193,t.me/thewolfcrypto1
46241,36035,"👍THE WOLF SCALPER👍

✔️COIN NAME: MERL(USDT)

LEVER...OSS:  0.4090

#WE_STAND_WITH_PALESTINE

REACTIONS?",4f604e4cf62493c2d291cbb924c31800,2025-12-01T17:04:07+00:00,2025-12-02T20:29:00.025428+00:00,193,t.me/thewolfcrypto1
59746,36514,"👍THE WOLF SCALPER👍

✔️COIN NAME: PIEVERSE(USDT)

L...OSS:  0.8050

#WE_STAND_WITH_PALESTINE

REACTIONS?",6464c10a7637e244d85549728f11d00d,2025-12-07T16:33:43+00:00,2025-12-07T22:50:21.505235+00:00,193,t.me/thewolfcrypto1
61941,36555,"👍THE WOLF SCALPER👍

✔️COIN NAME: VOXEL(USDT)

LEVE...OSS:  0.2630

#WE_STAND_WITH_PALESTINE

REACTIONS?",457ae9ecb7dbdc480b453be86dd076f8,2025-12-08T09:56:22+00:00,2025-12-08T22:58:12.499809+00:00,193,t.me/thewolfcrypto1
61948,36545,"👍THE WOLF SCALPER👍

✔️COIN NAME: MON(USDT)

LEVERA...SS:  0.02820

#WE_STAND_WITH_PALESTINE

REACTIONS?",062f7823293eb2b54119991180de9b5a,2025-12-08T07:15:30+00:00,2025-12-08T22:58:14.683593+00:00,193,t.me/thewolfcrypto1
64042,36608,"👍THE WOLF SCALPER👍

✔️COIN NAME: FHE(USDT)

LEVERA...SS:  0.04950

#WE_STAND_WITH_PALESTINE

REACTIONS?",ee5607e137eed22a649b2a529118a3c4,2025-12-09T06:40:29+00:00,2025-12-09T23:23:02.982328+00:00,193,t.me/thewolfcrypto1
66757,36696,"👍THE WOLF SCALPER👍

✔️COIN NAME: AXL(USDT)

LEVERA...OSS:  0.1360

#WE_STAND_WITH_PALESTINE

REACTIONS?",f169821a16b97a47832fc16bb13e47c8,2025-12-10T07:05:54+00:00,2025-12-11T00:59:07.335513+00:00,193,t.me/thewolfcrypto1
69941,36760,"👍THE WOLF SCALPER👍

✔️COIN NAME: LIGHT(USDT)

LEVE...OSS:  1.1000

#WE_STAND_WITH_PALESTINE

REACTIONS?",19aa5c8fee7ff97a378af53a3b9fa27d,2025-12-11T09:39:48+00:00,2025-12-12T00:10:35.200255+00:00,193,t.me/thewolfcrypto1
72830,36837,"👍THE WOLF SCALPER👍

✔️COIN NAME: ICNT(USDT)

LEVER...OSS:  0.3760

#WE_STAND_WITH_PALESTINE

REACTIONS?",d95fe284c860e11280e151b49948ea6f,2025-12-12T17:14:39+00:00,2025-12-13T00:10:36.651381+00:00,193,t.me/thewolfcrypto1
80927,37003,"👍THE WOLF SCALPER👍

✔️COIN NAME: SWARMS(USDT)

LEV...SS:  0.01500

#WE_STAND_WITH_PALESTINE

REACTIONS?",99658f8be35a311248be28598f218fac,2025-12-15T18:56:47+00:00,2025-12-16T02:05:03.748809+00:00,193,t.me/thewolfcrypto1
80943,36966,"👍THE WOLF SCALPER👍

✔️COIN NAME: WET(USDT)

LEVERA...OSS:  0.2230

#WE_STAND_WITH_PALESTINE

REACTIONS?",ba4135cf199079030297c91411f12dfe,2025-12-15T07:14:57+00:00,2025-12-16T02:05:04.372751+00:00,193,t.me/thewolfcrypto1
84172,37068,"👍THE WOLF SCALPER👍

✔️COIN NAME: UAI(USDT)

LEVERA...OSS:  0.1700

#WE_STAND_WITH_PALESTINE

REACTIONS?",d86b42ea503538a7a1bda1ac63f68705,2025-12-16T15:01:24+00:00,2025-12-17T03:09:43.026013+00:00,193,t.me/thewolfcrypto1
84185,37055,"👍THE WOLF SCALPER👍

✔️COIN NAME: FORM(USDT)

LEVER...OSS:  0.3600

#WE_STAND_WITH_PALESTINE

REACTIONS?",24e8ebf6ec21f43e0b545e1e9482a06c,2025-12-16T11:38:08+00:00,2025-12-17T03:09:43.769597+00:00,193,t.me/thewolfcrypto1
87029,37149,"👍THE WOLF SCALPER👍

✔️COIN NAME: ICNT(USDT)

LEVER...OSS:  0.3820

#WE_STAND_WITH_PALESTINE

REACTIONS?",8e0b3a44d92762d2797b9b2e12b30a96,2025-12-17T17:31:04+00:00,2025-12-18T03:33:02.261138+00:00,193,t.me/thewolfcrypto1
87054,37134,"👍THE WOLF SCALPER👍

✔️COIN NAME: H(USDT)

LEVERAGE...SS:  0.08320

#WE_STAND_WITH_PALESTINE

REACTIONS?",8937c19d236a05c8f93a54882575ceae,2025-12-17T14:58:42+00:00,2025-12-18T03:33:02.393945+00:00,193,t.me/thewolfcrypto1
87057,37117,"👍THE WOLF SCALPER👍

✔️COIN NAME: LIGHT(USDT)

LEVE...OSS:  1.4400

#WE_STAND_WITH_PALESTINE

REACTIONS?",c3eb2fddc424f8a132cb24e68127d9dc,2025-12-17T11:52:21+00:00,2025-12-18T03:33:02.403054+00:00,193,t.me/thewolfcrypto1
90685,37277,"👍THE WOLF SCALPER👍

✔️COIN NAME: LIGHT(USDT)

LEVE...OSS:  2.0550

#WE_STAND_WITH_PALESTINE

REACTIONS?",03284df6b0a7c7f4a8f9f6a43b1b6287,2025-12-19T11:47:57+00:00,2025-12-20T03:35:34.505254+00:00,193,t.me/thewolfcrypto1
90700,37266,"👍THE WOLF SCALPER👍

✔️COIN NAME: PTB(USDT)

LEVERA...S:  0.004605

#WE_STAND_WITH_PALESTINE

REACTIONS?",e93c2108827a6e73f95389db3dace116,2025-12-19T08:45:23+00:00,2025-12-20T03:35:34.780133+00:00,193,t.me/thewolfcrypto1
90716,37220,"👍THE WOLF SCALPER👍

✔️COIN NAME: HMSTR(USDT)

LEVE...SS:  0.02580

#WE_STAND_WITH_PALESTINE

REACTIONS?",869670a7e3449437851935bb5f2ca52f,2025-12-18T11:28:16+00:00,2025-12-20T03:35:36.197392+00:00,193,t.me/thewolfcrypto1
90717,37203,"👍THE WOLF SCALPER👍

✔️COIN NAME: Q(USDT)

LEVERAGE...SS:  0.01280

#WE_STAND_WITH_PALESTINE

REACTIONS?",9bddc2944678ed4d2ee1059c2e937b32,2025-12-18T08:58:46+00:00,2025-12-20T03:35:36.197938+00:00,193,t.me/thewolfcrypto1
90755,37183,"👍THE WOLF SCALPER👍

✔️COIN NAME: RIVER(USDT)

LEVE... LOSS:  3.07

#WE_STAND_WITH_PALESTINE

REACTIONS?",3dc1cf9dee582528c736a967fae740bf,2025-12-18T06:40:11+00:00,2025-12-20T03:35:41.415588+00:00,193,t.me/thewolfcrypto1
92265,37367,"👍THE WOLF SCALPER👍

✔️COIN NAME: NIGHT(USDT)

LEVE...SS:  0.07750

#WE_STAND_WITH_PALESTINE

REACTIONS?",e9a99f4c15739be9d256523ace3087e4,2025-12-21T06:26:49+00:00,2025-12-22T11:55:27.314858+00:00,193,t.me/thewolfcrypto1
92288,37341,"👍THE WOLF SCALPER👍

✔️COIN NAME: LIGHT(USDT)

LEVE...LOSS:  2.900

#WE_STAND_WITH_PALESTINE

REACTIONS?",7940a5fe6494af4fee0b85628d072ab3,2025-12-20T17:49:44+00:00,2025-12-22T11:55:28.037468+00:00,193,t.me/thewolfcrypto1
92320,37321,"👍THE WOLF SCALPER👍

✔️COIN NAME: BAN(USDT)

LEVERA...SS:  0.08630

#WE_STAND_WITH_PALESTINE

REACTIONS?",47441fa588835d1b363976e373e87539,2025-12-20T08:59:11+00:00,2025-12-22T11:55:45.304416+00:00,193,t.me/thewolfcrypto1
69916,36789,"👍THE WOLF SCALPER👍

✔️COIN NAME: PIEVERSE(USDT)

L...OSS:  0.4720

#WE_STAND_WITH_PALESTINE

REACTIONS?",b977e6fc069883485f33a7004161d579,2025-12-11T16:56:03+00:00,2025-12-12T00:10:33.967161+00:00,193,t.me/thewolfcrypto1
98289,37572,"👍THE WOLF SCALPER👍

✔️COIN NAME: ZKC(USDT)

LEVERA...OSS:  0.1132

#WE_STAND_WITH_PALESTINE

REACTIONS?",ec78bc542abfe5829890faaaf287d9f4,2025-12-24T07:53:31+00:00,2025-12-24T18:03:54.339602+00:00,193,t.me/thewolfcrypto1
93153,37514,"👍THE WOLF SCALPER👍

✔️COIN NAME: ICNT(USDT)

LEVER...OSS:  0.4815

#WE_STAND_WITH_PALESTINE

REACTIONS?",702d7bed966a45537e5a421756a27a67,2025-12-23T12:04:33+00:00,2025-12-23T15:25:34.130564+00:00,193,t.me/thewolfcrypto1
93173,37501,"👍THE WOLF SCALPER👍

✔️COIN NAME: RAVE(USDT)

LEVER...OSS:  0.6000

#WE_STAND_WITH_PALESTINE

REACTIONS?",6270865a9bfb93816f6f90830e0e5304,2025-12-23T09:14:45+00:00,2025-12-23T15:25:35.073933+00:00,193,t.me/thewolfcrypto1
