id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
8289,5403,"$BATUSDT Update: 

Reached the first target, went for over 47% profits using x10 leverage. ✅🚀",956b73fd3270e8e01ef5ed5eb5d591dd,2025-08-30T18:04:50+00:00,2025-11-03T23:16:32.620698+00:00,26,@wolfoftrading
8310,5402,"🚨 El Salvador just moved its entire $680 million B... spread across 14 wallets, each capped at 500 BTC.",06debc3963179bb9b4898b867c331321,2025-08-30T15:00:15+00:00,2025-11-03T23:16:32.786187+00:00,26,@wolfoftrading
8305,5401,"🇺🇸Big day tomorrow, all eyes on PCE inflation, the...ious 2.6% headline YoY % (there's no USA inflation",60664c1335b54e52c972c33b3100084c,2025-08-28T13:59:01+00:00,2025-11-03T23:16:32.741829+00:00,26,@wolfoftrading
8291,5400,"$XTZUSDT Update: 4h

Going for the $1 resistance a...on, mostly if we break from above of this pennant.",3518ff514dcb1a6f4469630e3a905bb8,2025-08-28T13:22:36+00:00,2025-11-03T23:16:32.632178+00:00,26,@wolfoftrading
8301,5399,"$BTCUSDT Update: 4h

Both the top and the bottom of the waves were accurate. 👌🐺",bb5f47e13b226ede336356357846cd07,2025-08-28T13:13:41+00:00,2025-11-03T23:16:32.707981+00:00,26,@wolfoftrading
8309,5398,"$ETCUSDT Update: 4h

Expecting to see some strong ...r to stay bullish on ETC in the 4 hours timeframe.",f89f89f857a03f3c65ebbbde551b1c4f,2025-08-28T13:12:26+00:00,2025-11-03T23:16:32.769298+00:00,26,@wolfoftrading
8300,5396,"$LTCUSDT FREE SIGNAL:

Smashed the first target, over 30% profits using x5 leverage. ✅🚀",df183a8b0008b5575a135fec7215ebe4,2025-08-26T11:43:16+00:00,2025-11-03T23:16:32.694057+00:00,26,@wolfoftrading
8297,5395,"$BTCUSDT Update: 4h

Finally the time has passed, ...free to you in this channel. Enjoy the accuracy.
🐺",b8298e29695b07994e4833b8aba22871,2025-08-26T11:41:32+00:00,2025-11-03T23:16:32.688274+00:00,26,@wolfoftrading
8298,5394,"#ETH Liquidation Heatmap(1monh)                   ...                     

High leverage liquidity.👀🍿👀",2ceddb62ae5b5064fd256fa2b6363076,2025-08-26T00:03:22+00:00,2025-11-03T23:16:32.688942+00:00,26,@wolfoftrading
8306,5393,Over $61M worth of tokens will be unlocked this we...st will be $25.12M unlocked by $OP on August 29th.,dc92298399e1dc07bc919d5512614a88,2025-08-25T13:03:11+00:00,2025-11-03T23:16:32.751016+00:00,26,@wolfoftrading
